Sample,Subgroup,1:12833868-13002452,1:16757397-16794038,1:16799163-16836986,1:16954838-16997273,1:25354765-25402278,1:72489681-72620747,1:83381408-83603746,1:149369522-149394958,1:149579637-149582884,1:199087690-199111062,1:244627520-244676774,1:244693374-244865778,1:244870377-244942436,1:244947984-244955806,1:244961779-244970723,1:245082256-245121447,2:50329312-56794730,2:57141220-60843704,2:60860846-61005290,2:61025070-61061211,2:61069435-67262586,3:4109224-4214897,3:89488409-89516057,3:127138046-128434521,3:128485208-128664764,3:128683027-130206126,3:130849527-131199964,3:131215316-131299415,3:131310594-136853762,3:136891846-137841243,3:137852057-143671669,3:143686906-144718154,3:144727213-153247166,3:153300999-156963893,3:156981865-160212878,3:160231691-163957219,3:163966040-163987465,3:164038925-164101784,3:164112881-164333847,3:164454066-166625316,3:166639991-168786545,3:173645852-176989598,3:193425674-193467200,3:196908262-196937230,4:4308119-4314081,4:4327213-4358339,4:69215734-69311985,4:70334625-70410860,4:162347852-163724527,4:163764301-166540017,5:802518-826044,5:70716278-70721505,5:70752359-71062539,5:119108165-125801997,5:125809649-131839536,5:140433878-142819410,5:142831583-149027600,5:149050787-150137980,5:150224239-152555267,5:152572508-153979903,5:154006451-157875296,5:157900279-159729154,6:18550170-19001738,6:19049822-20716660,6:20726739-22048197,6:22060377-24236375,6:24244934-26055528,6:26270597-27455236,6:32634044-32660090,6:32732764-32738443,6:32831879-35335888,6:35344147-37360148,6:37375174-39260751,6:39777677-40701218,6:40747924-42826227,6:45107837-47047807,6:63057692-64614816,6:64633346-64705894,6:64750730-65951879,6:75632175-75961320,6:75968174-77079694,6:77126953-77532707,6:85623360-89090699,6:89106148-90015649,6:90034143-91964331,6:110408187-110448454,6:113313043-113625048,6:115539064-119256600,6:119263604-122326220,6:133447975-135173194,6:135204537-135259324,6:135286400-135498058,6:136159988-136555576,6:136561135-136680507,6:137534872-137928470,6:140293024-140905063,6:140939171-142310445,7:141965869-141978333,8:29497110-29571339,8:31336091-31896351,8:35694285-35751327,8:35761900-35857879,8:35875555-36133992,8:36153626-36327657,8:36347029-36416687,8:36426253-36481039,8:36512939-36612488,8:36627162-36673994,8:36719696-36769058,8:41575958-42118548,8:42123757-42175380,8:42191493-42325689,8:145962567-146264846,9:153131-194193,9:210253-528529,9:533322-559898,9:42913008-43066618,9:132969083-132993751,10:16134020-16227462,10:16276793-18410505,10:21859872-21874211,10:21880427-21920526,11:15925810-16521314,11:16532712-18443734,11:18447860-19551133,11:19570565-20098137,11:20113144-21887299,11:21926331-24388057,11:54789837-54807283,11:78005966-78127149,11:78137964-78627898,11:78706656-79810606,11:80023540-80218800,11:80263397-80790766,11:80814746-81363283,11:81383435-82269855,11:82288127-82586347,11:82599955-82867442,11:83733321-85064586,11:95737778-98627006,11:103179669-103605605,11:103640528-105452607,11:105458461-107398356,11:107409719-109050102,11:109089452-114667900,11:118115430-118362161,11:119588838-124295965,11:124303180-130667119,11:130687277-132596928,11:132606436-134432265,12:5997138-7884886,12:9528590-9585156,12:44923991-45851001,12:45861893-47611599,12:60060494-62081511,12:63340667-63566937,12:63574243-64694907,12:64727853-66012212,12:66035532-66948440,12:70379430-70453985,12:70462057-70560603,12:70574871-71644041,12:74674175-74721164,12:74728500-75387573,12:75396411-75693696,12:75706042-77012738,12:77023447-82859962,12:83810013-84520659,12:84542006-85443011,12:85450052-85962613,12:85986743-87258350,12:87329145-88538415,12:88551907-88910171,12:90696859-92322330,12:92329775-94134731,12:103235991-103497565,13:20633975-20649522,13:40795287-41378403,13:41384251-42045671,13:42053349-45262389,13:47691104-47937120,13:56602818-56610886,13:56645552-56673183,13:59551837-62339014,13:63637310-66729432,13:66749878-67487718,13:67522431-69041225,13:69055547-69699416,13:73137009-77218661,13:77224204-78743491,14:18149473-18537177,14:19154992-19216369,14:19268776-19330937,14:34765550-35332809,14:37627931-38890108,14:38908039-40550969,14:53877628-54699527,14:54705831-57591863,14:105857193-105881279,15:53166-592121,15:21195208-21982746,15:22163893-22272781,15:22289273-22364310,15:22374850-23389141,15:23440964-23933266,15:23967192-26208602,15:27009381-32443495,15:32447707-32511475,15:32667508-32751435,15:39578565-39587716,15:39590440-39979013,15:39989024-40217541,15:40224293-41638388,15:41676219-44156737,15:44193179-48393597,15:48406757-51888263,15:51919876-55250930,15:55258039-57620619,15:57627602-58554678,16:41636-151666,16:155724-182983,16:191307-2499608,16:2505009-4665784,16:4670009-9018298,16:9048939-13407657,16:14956177-14988855,16:29586070-30555422,16:30561643-31835555,16:31854837-31862577,16:34369010-34482623,16:68606309-68648091,16:68667006-68679377,16:68710277-68751390,16:68880321-69381055,16:69391442-69397102,16:69417987-69744010,16:69763173-70593293,16:70601469-71161060,16:72933295-73012768,16:73022578-73030029,16:82128902-83298645,16:86462708-86560114,16:86571161-86861829,16:86874711-86968529,16:86985669-88124384,17:403833-443042,17:1542118-1560766,17:1860983-1862743,17:19542146-19715593,17:19724453-19825648,17:19833631-20159997,17:20959898-21204422,17:21211558-21386260,17:21393584-21442476,17:22399576-22459548,17:22485675-22508198,17:22560433-22614479,17:22622230-22764692,17:22775124-22788340,17:22798530-22952517,17:22978886-23005210,17:23030260-23591463,17:23604362-23631712,17:23641542-23815398,17:24108428-24223451,17:24231923-24249384,17:24265896-24395518,17:24446821-24694533,17:24708419-24915412,17:24920439-24966191,17:24974517-25131411,17:25145468-25170458,17:25179301-25520058,17:25816140-25841839,17:34900309-34977994,17:34989300-35067992,17:35076296-35282086,17:35286565-35336158,17:35391450-35427554,17:35444422-35463146,17:38035466-38070950,17:38077519-38710043,17:38784700-39114890,17:39139634-39275931,17:39280577-40847517,17:41011530-41041674,17:41062669-41447005,17:41458670-41494331,17:41577520-41644979,17:41700762-41706870,17:41983407-42049540,17:42161364-42296514,17:42301553-42639030,17:42648686-42873571,17:43036086-43085236,17:43100477-43148025,17:77442683-77478901,17:77503378-77503685,17:77535412-77646396,17:77653668-77696106,17:77704506-78562654,19:34467144-36255437,19:40356341-40522716,19:40530071-40556205,19:47934635-48237067,19:56816785-56859204,20:1516966-1539155,21:14489502-15461383,21:15481499-16229048,21:34132594-34805333,21:39927348-41144015,22:17080555-17294496,22:17343445-17385003,22:19886024-20632137,22:22695759-22714749,22:22725750-22731544,22:28922568-30224848,22:30243922-31511793,22:31521603-32950474,22:37683612-37705310,22:39107247-39317843,22:39323749-40065743,22:40072147-41213949,22:41221190-41290227,22:41293579-41298170,22:41307174-41912419,22:41917843-42643973,23:3229-45135,23:384298-385792,23:1672003-1687507,23:1702016-1706462,23:61714710-64403534,23:64464973-66511655,23:66527817-67559319,23:67574650-71124218,23:71130036-71990852,23:72008396-76523923,23:76605907-83305349,23:83340047-88078465,23:88111667-88259698,23:89001120-89245846,23:122417938-131366673,23:152552851-152570071
Array.34,HR+,0,0,0,0,1,0,0,-1,1,-1,0,1,1,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0,0,0,0,0,1,1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,0,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,1,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Array.24,Triple Neg,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,1,1,1,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,0
Array.49,HER2+,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,1,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,1,1,1,2,0,0,0,0,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,1,1,0,0,2,2,2,1,1,1,1,0,0,0,0,0,2,2,1,0,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,0,-1,-1,2,2,2,1,2,2,2,2,2,1,2,1
Array.16,HER2+,-1,-1,-1,-1,-1,-1,0,-1,1,0,1,1,1,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,2,2,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,2,2,2,1,1,1,1,2,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,0,1,-1,1,-1,0,0,0,-1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
Array.143,HER2+,0,0,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Array.65,HR+,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,2,2,2,2,2,2,2,2,2,1,2,1
Array.62,Triple Neg,1,1,1,1,-1,1,1,0,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Array.4,HER2+,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,1,1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Array.118,Triple Neg,0,0,0,1,0,1,-1,-1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,0,2,2,2,2,2,2,2,2,2,2,1,1
Array.154,Triple Neg,0,0,0,0,1,-1,0,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,2,0,0
