Sample,Subgroup,1:149369522-149394958,17:35076296-35282086
Array.129,HER2+,1,2
Array.67,HR+,0,-1
Array.22,Triple Neg,-1,0
Array.36,HR+,0,-1
Array.16,HER2+,-1,2
Array.146,Triple Neg,0,0
Array.143,HER2+,1,2
Array.65,HR+,0,0
Array.118,Triple Neg,-1,0
Array.154,Triple Neg,-1,0
Array.6,HER2+,-1,2
Array.86,HR+,1,-1
Array.112,Triple Neg,-1,-1
Array.79,HER2+,1,2
Array.27,HR+,1,0
Array.106,HER2+,0,2
Array.110,HER2+,1,2
Array.73,HER2+,1,2
Array.95,HR+,0,0
Array.98,HR+,-1,0
Array.17,HER2+,1,2
Array.33,HR+,1,-1
Array.149,HR+,-1,1
Array.101,HR+,0,0
Array.99,Triple Neg,-1,0
Array.57,Triple Neg,-1,0
Array.114,Triple Neg,0,-1
Array.148,HER2+,0,2
Array.42,HER2+,1,2
Array.102,Triple Neg,-1,0
Array.141,HR+,1,0
Array.43,HR+,-1,0
Array.159,Triple Neg,-1,-1
Array.88,Triple Neg,1,1
Array.125,HER2+,0,2
Array.152,HER2+,0,2
Array.50,Triple Neg,1,0
Array.23,HR+,2,1
Array.68,HER2+,-1,2
Array.94,HR+,2,0
Array.153,Triple Neg,0,-1
Array.142,HR+,2,1
Array.144,HER2+,-1,2
Array.18,HER2+,2,2
Array.75,HER2+,-1,2
Array.117,HR+,2,0
Array.38,Triple Neg,0,-1
Array.137,HR+,1,0
Array.145,Triple Neg,-1,0
Array.31,Triple Neg,0,0
Array.135,Triple Neg,1,0
Array.111,Triple Neg,0,0
Array.7,HR+,1,-1
Array.21,HER2+,2,2
Array.53,HER2+,-1,2
Array.59,HR+,1,0
Array.47,Triple Neg,-1,0
Array.89,HR+,2,0
Array.30,Triple Neg,-1,0
Array.35,HR+,-1,0
Array.93,Triple Neg,-1,0
Array.100,HR+,-1,0
Array.134,HR+,-1,1
Array.130,HER2+,2,2
