Sample,Subgroup,1:72489681-72620747,1:149369522-149394958,1:193480150-193527058,1:199087690-199111062,2:61025070-61061211,5:873416-878290,5:93328253-96508341,5:96522323-96603723,5:140203440-140221835,5:150224239-152555267,5:152572508-153979903,5:154006451-157875296,5:171653443-173359849,6:30040917-30081128,6:32732764-32738443,6:40747924-42826227,6:119263604-122326220,6:122354776-122673457,6:122710361-123097090,8:42123757-42175380,8:42191493-42325689,9:42913008-43066618,11:78137964-78627898,11:79858760-79974644,11:80023540-80218800,11:80263397-80790766,12:9528590-9585156,12:75396411-75693696,14:105602756-105630089,15:32523241-32594902,15:32605086-32654561,16:67314736-68371045,16:68710277-68751390,16:69391442-69397102,16:69763173-70593293,17:35076296-35282086,17:41983407-42049540,17:42648686-42873571,17:61590200-61726416,17:77442683-77478901,17:77503378-77503685,22:39323749-40065743,22:40072147-41213949,23:3229-45135,23:152994680-153054487
Array.129,HER2+,-1,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,-1,-1,0,-1,-1,-1,-1,2,0,0,-1,-1,1,1,1,1,2,-1,-1,0,0,0,0,0,0,0
Array.22,Triple Neg,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,1
Array.36,HR+,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,2,0,0,-1,-1,-1,1
Array.146,Triple Neg,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Array.143,HER2+,1,1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,1,1,1,1,1,0,0,1,0,0,-1,-1,-1,-1,2,-1,-1,1,1,1,1,1,0,1
Array.65,HR+,0,0,1,1,-1,1,1,1,1,1,1,1,1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,1,1,0,0,0,-1,-1,1,1
Array.4,HER2+,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,1,1,1,2,-1,-1,-1,-1,-1,0,0,1,1
Array.76,HER2+,0,1,1,0,0,1,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,1,1,1,1,0,0,-1,-1,-1,0,-1,0,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
Array.154,Triple Neg,-1,-1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,0
Array.48,HR+,-1,0,1,-1,0,0,0,0,0,1,1,1,1,0,-1,0,0,0,0,2,2,0,1,0,0,-1,0,1,-1,-1,1,0,-1,0,0,1,1,1,1,0,0,-1,-1,0,0
