fold,n_estimators,max_depth,max_features,k,l,accuracy,f1_weighted,roc_auc_ovr,train_accuracy,train_f1_weighted,train_roc_auc_ovr
1_1_1,50,,sqrt,,,0.8125,0.8121527777777778,0.9446022727272727,1.0,1.0,1.0
1_1_2,50,,sqrt,,,0.625,0.6193181818181819,0.8099431818181819,1.0,1.0,1.0
1_1_3,50,,sqrt,,,0.5625,0.5364583333333333,0.8193181818181817,1.0,1.0,1.0
1_1_4,50,,sqrt,,,0.9375,0.9364316239316239,0.9852272727272727,1.0,1.0,1.0
1_1_5,50,,sqrt,,,0.8125,0.8078015734265734,0.9704545454545455,1.0,1.0,1.0
1_2_1,100,,sqrt,,,0.875,0.876984126984127,0.9389204545454546,1.0,1.0,1.0
1_2_2,100,,sqrt,,,0.6875,0.6856060606060606,0.8838068181818182,1.0,1.0,1.0
1_2_3,100,,sqrt,,,0.75,0.7458333333333333,0.8954545454545455,1.0,1.0,1.0
1_2_4,100,,sqrt,,,1.0,1.0,0.9943181818181819,1.0,1.0,1.0
1_2_5,100,,sqrt,,,0.8125,0.8058035714285714,0.9676136363636363,1.0,1.0,1.0
1_3_1,50,10.0,sqrt,,,0.8125,0.8121527777777778,0.9446022727272727,1.0,1.0,1.0
1_3_2,50,10.0,sqrt,,,0.625,0.6193181818181819,0.8071022727272728,1.0,1.0,1.0
1_3_3,50,10.0,sqrt,,,0.5625,0.5364583333333333,0.8193181818181817,1.0,1.0,1.0
1_3_4,50,10.0,sqrt,,,0.9375,0.9364316239316239,0.9852272727272727,1.0,1.0,1.0
1_3_5,50,10.0,sqrt,,,0.8125,0.8078015734265734,0.9647727272727273,1.0,1.0,1.0
1_4_1,100,10.0,sqrt,,,0.875,0.876984126984127,0.9389204545454546,1.0,1.0,1.0
1_4_2,100,10.0,sqrt,,,0.6875,0.6856060606060606,0.8869318181818182,1.0,1.0,1.0
1_4_3,100,10.0,sqrt,,,0.75,0.7458333333333333,0.8954545454545455,1.0,1.0,1.0
