Sample,Subgroup,15:53166-592121,1:62781892-63279284,15:27009381-32443495,17:35076296-35282086,3:11686988-12710784,22:23022675-23926329,2:235740357-236665001,17:20569693-20596699,1:245054641-245071941,1:53661750-55331098,22:23952881-23967594,8:39356595-39363050,19:13188639-14135749,6:122354776-122673457,3:75845446-75858339,1:103819551-103875725,16:29586070-30555422,1:16126501-16531740,4:191062719-191134340,12:64727853-66012212,19:56816785-56859204,15:32447707-32511475,10:81863113-82109833,1:2611444-2641811,3:75479859-75535753,5:802518-826044,3:199333505-199383479,1:16551324-16592466,6:18550170-19001738,2:132210961-132323628,5:70716278-70721505,10:78427308-79275280,6:22060377-24236375,15:44193179-48393597,12:57531034-59041688,8:42123757-42175380,6:1292057-1353261,1:2927-43870,1:199087690-199111062,11:32782710-32814911,1:3149648-3157982,17:1859252-1859812,6:75632175-75961320,12:70462057-70560603,15:39590440-39979013,17:37019956-37046097,1:19200088-21470929,6:32672983-32702995,22:24263116-24866694,15:51919876-55250930,6:40747924-42826227,16:33758082-33875313,6:63057692-64614816,22:41307174-41912419,10:64146695-66004965,1:156722904-157446463,14:40566575-40779816,1:239391358-239517083,15:58564448-58660388,8:7359040-7789937,10:72351591-73557841,16:86985669-88124384,8:97415915-97633935,2:61025070-61061211,9:43094089-43410478,3:144727213-153247166,6:70738275-72163725,15:32605086-32654561,3:39066-342654,11:56304321-56600048,15:32523241-32594902,10:89773041-90752756,3:75870144-75896020,8:97639200-98703368,14:68154581-71881814,6:170856656-170943103,8:184617-808139,6:140293024-140905063,16:54354643-54379834,14:105602756-105630089,17:11469879-12854787,3:170472437-173237997,8:30952516-31295499,23:959048-1235529,9:42913008-43066618,8:28883487-29205723,17:13035306-15423538,8:166452-181530,7:141965869-141978333,13:56645552-56673183
Array.129,HER2+,0,0,-1,2,0,-1,0,-1,-1,0,-1,-1,0,1,-1,0,0,0,0,1,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,1,1,-1,0,0,0,1,0,1,0,1,-1,-1,0,0,-1,-1,0,1,0,0,0,1,0,0,-1,1,0,1,0,1,0,0,0,-1,-1,0,-1,0,-1,0,0,-1,-1,1,0,0,-1,0,-1,0,0,-1,-1,0,-1,0
Array.34,HR+,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,0,0,0,0,2,-1,0,1,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,0,-1,0,0,-1,-1,2,0,1,0,-1,0,0,0,0,-1,0,1,0,0,0,0,-1,1,0,1,0,0,0,-1,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1
Array.67,HR+,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,2,-1,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,-1,1,0,1,0,0,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,-1,0,0,1,1,1,-1,-1,0,0
Array.24,Triple Neg,-1,-1,-1,0,1,1,-1,-1,-1,-1,1,0,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,1,-1,-1,0,-1,-1,0,0,-1,-1,-1,1,-1,-1,0,-1,0,-1,-1,0,0,-1,-1,0,-1,0,-1,-1
Array.22,Triple Neg,-1,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,0,-1,-1,0,0,-1,0,1,0,0,0,-1,1,0,0,0,1,0,0,0,1,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,1,0,1,-1,0,1,0,1,0,1,0,-1,1,0,0,1,-1,-1,1,0,-1,0,0,1,0,-1,0,-1,-1,-1,0,1,0,1,0,0,0,0,0,-1
Array.36,HR+,0,0,0,-1,0,-1,0,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,-1,-1,-1,0
Array.49,HER2+,0,0,0,2,0,0,0,-1,0,0,1,2,0,0,0,2,0,-1,0,1,0,0,0,0,0,0,0,-1,2,0,-1,0,1,0,0,1,0,0,1,-1,-1,0,0,0,0,1,-1,0,1,0,0,0,1,-1,0,1,0,0,0,0,0,-1,2,0,0,0,1,0,0,-1,-1,0,0,2,0,0,-1,0,-1,-1,-1,0,-1,1,0,-1,-1,-1,0,-1
Array.16,HER2+,0,-1,0,2,-1,-1,0,-1,1,1,-1,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,1,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,-1,1,-1,0,-1,0,-1,0,-1,0,-1,0,1,1,-1,-1,1,0
Array.143,HER2+,1,1,0,2,1,1,0,-1,-1,2,1,0,0,0,-1,1,0,-1,0,0,1,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,1,1,0,1,0,0,0,0,-1,1,1,0,0,1,0,1,0,0,1,1,0,-1,0,-1,1,-1,1,1,0,0,1,1,0,0,-1,1,1,0,-1,0,-1,1,-1,1,-1,0,1,-1,-1,-1,1,0
Array.62,Triple Neg,0,2,0,0,1,1,1,0,0,1,1,1,2,0,-1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,2,1,1,0,0,1,1,0,1,1,2,1,1,1,2,0,1,1,0,-1,-1,2,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,-1
