Sample,Subgroup,5:152572508-153979903,6:6356121-7863271,17:35076296-35282086,3:143686906-144718154,8:35694285-35751327,15:18835660-18884436,6:18550170-19001738,16:86985669-88124384,20:8747-57263,1:27418631-27637052,5:763494-786455,23:152422390-152548587,6:125139481-126167412,23:108169857-122414714,20:32377973-32691183,6:19049822-20716660,11:80263397-80790766,12:77023447-82859962,22:23978623-24228038,22:41221190-41290227,5:180342860-180362342,1:57359130-58257959,14:105654998-105693581,1:912799-1266212,12:74728500-75387573,16:68710277-68751390,2:115206978-115251658,1:149591108-149598429,6:68631929-69110566,3:41249898-46752789,1:16757397-16794038,1:193480150-193527058,3:75546791-75799957,16:33495501-33539023,5:178560621-179290850,1:116081666-116824183,12:64727853-66012212,3:164343718-164427869,23:153062077-153452633,5:98471909-100277629,16:61163269-63210535,3:164454066-166625316,1:149579637-149582884,1:42754729-43839204,1:16799163-16836986,3:166639991-168786545,17:403833-443042,9:43094089-43410478,1:72489681-72620747,16:54354643-54379834,16:72933295-73012768,22:22651385-22665928,6:1358498-1359129,4:157228097-162174965,18:22269177-22793854,6:4651403-4923955,9:40361684-40520747,5:150148732-150201145,8:41575958-42118548,1:64392452-65044702,1:120313797-120384620,1:158296040-158314837,16:30561643-31835555,6:22060377-24236375,6:135204537-135259324,1:17030134-17037487,11:109089452-114667900,18:138963-467510,23:3229-45135,4:132983429-133222805,1:149369522-149394958,2:91057159-91234354,8:53262924-54668893,16:68606309-68648091,16:29560500-29582349,14:21464924-21511829,14:21518235-22000194,14:19268776-19330937,8:55862289-56770315,6:131304839-132036965,15:32605086-32654561,17:20959898-21204422,6:149845177-151256488,17:16578627-16713678,3:196947293-196962380,1:146525071-146549143,11:103179669-103605605,1:245054641-245071941,17:25537018-25610913,8:25114132-25774629,1:239391358-239517083,23:959048-1235529,16:19405790-21225204,8:26613950-27431467,8:184617-808139,15:32523241-32594902
Array.129,HER2+,0,0,2,-1,-1,0,0,1,0,0,0,2,1,2,1,0,-1,0,1,0,-1,0,0,0,0,1,0,1,0,-1,0,0,-1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,-1,0,1,0,-1,1,-1,0,0,0,-1,0,0,0,0,0,1,0,-1,-1,0,0,1,0,0,0,0,0,0,1,0,1,-1,-1,-1,-1,0,0,-1,-1,2,-1,0,0,0,-1,-1,-1
Array.67,HR+,-1,0,-1,0,1,-1,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,-1,0,0,0,0,0,-1,1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0,1,-1,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,2,0,0,-1,-1,-1,1,0,-1,-1,-1
Array.24,Triple Neg,-1,-1,0,-1,0,-1,0,0,0,1,0,0,-1,2,0,0,0,-1,1,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,-1,1,-1,-1,0,0,1,0,-1,1,1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,1,-1,-1,-1,0,0,0,0,-1,-1,2,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,-1,0,0,0,-1
Array.22,Triple Neg,0,1,0,1,0,0,1,-1,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,0,-1,0,0,0,-1,1,0,-1,-1,1,0,-1,-1,0,0,0,-1,-1,0,1,-1,0,1,0,0,0,0,0,1,0,1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,1,1,-1,0,-1,-1,0,-1,0,0,1,-1,1,0,0,1,1,0,0,0,-1
Array.36,HR+,0,0,-1,0,-1,0,0,0,1,0,0,1,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,-1
Array.49,HER2+,-1,2,2,0,-1,0,2,-1,0,-1,0,1,0,2,0,1,-1,0,1,-1,1,0,0,0,1,-1,0,1,1,0,-1,1,0,0,1,-1,1,0,1,-1,-1,0,1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,0,-1,1,-1,1,1,0,1,0,-1,-1,-1,0,-1,2,0,2,-1,0,0,0,-1,2,0,0,-1,0,-1,0,0,-1,0,1,-1,0,1,0,-1,-1,-1
Array.146,Triple Neg,0,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Array.143,HER2+,-1,0,2,1,-1,0,0,-1,1,-1,0,1,0,1,1,0,1,0,1,1,-1,2,1,0,0,-1,0,1,0,-1,0,1,1,1,-1,1,0,1,1,-1,-1,1,1,0,-1,-1,1,1,1,-1,-1,1,0,0,-1,0,0,-1,-1,1,1,0,0,0,0,-1,-1,-1,0,0,1,1,1,-1,0,1,1,0,1,0,0,-1,0,-1,-1,1,-1,-1,0,-1,1,0,0,-1,-1,0
Array.65,HR+,1,0,0,0,0,1,0,-1,1,0,1,1,-1,2,1,0,-1,0,-1,-1,1,0,1,0,0,-1,-1,1,-1,0,0,1,0,1,1,0,0,0,1,1,-1,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,-1,0,-1,1,0,0,0,1,1,0,-1,0,-1,-1,1,0,0,0,0,-1,1,1,1,0,0,-1,0,0,-1,-1,0,1,-1,1,0,0,1,1,1,0,0,0
Array.4,HER2+,-1,1,2,-1,0,0,1,-1,-1,-1,-1,1,0,1,0,0,0,0,0,0,-1,1,-1,-1,0,1,0,1,0,-1,-1,1,0,0,-1,0,0,0,1,-1,0,0,1,0,-1,0,-1,0,-1,0,0,0,2,0,0,1,-1,-1,-1,0,0,1,0,-1,0,-1,0,0,1,0,1,0,1,1,0,-1,0,0,1,0,-1,-1,0,-1,0,1,0,-1,1,-1,0,1,0,-1,-1,-1
