Sample,Subgroup,6:4651403-4923955,1:39437661-40202959,18:19733211-22259536,20:194755-763411,3:199333505-199383479,15:32447707-32511475,9:110086022-110100386,16:70601469-71161060,16:29560500-29582349,21:39030818-39918819,15:27009381-32443495,1:109933787-109968401,19:13188639-14135749,17:35076296-35282086,21:44231716-46914686,7:38077657-38154547,5:70752359-71062539,1:104018651-104671817,5:150148732-150201145,3:48631976-48677740,16:14956177-14988855,19:40530071-40556205,23:132998038-140285388,8:35694285-35751327,1:149579637-149582884,23:122417938-131366673,1:193480150-193527058,5:69274433-70345552,16:67314736-68371045,6:131304839-132036965,14:18624383-19090564,11:15253180-15787974,2:61025070-61061211,8:37636761-37737912,6:30021894-30031367,17:29882787-30323137,6:40747924-42826227,1:149591108-149598429,8:36627162-36673994,1:146473741-146512434,6:31564655-32119501,9:133002701-133023225,1:16954838-16997273,1:199087690-199111062,11:71305189-71377650,1:117015146-117751415,12:64727853-66012212,16:30561643-31835555,17:39280577-40847517,9:42913008-43066618,15:32605086-32654561,6:135204537-135259324,6:32718991-32728487,16:68710277-68751390,4:52891744-53940563,11:80263397-80790766,3:4109224-4214897,12:44923991-45851001,11:61339118-61799979,6:252939-284743,8:39356595-39363050,6:19049822-20716660,22:37683612-37705310,17:41011530-41041674,8:38599339-38743232,6:165690639-165715368,1:141474904-141491470,23:1702016-1706462,10:23795026-27363056,1:149369522-149394958,1:16757397-16794038,1:16551324-16592466,2:126799274-126901119,17:77653668-77696106,1:2870100-2880675,23:91632143-92103804,7:141214728-141245219,3:196908262-196937230,14:19154992-19216369,13:20633975-20649522,6:64633346-64705894,11:18447860-19551133,1:120313797-120384620,6:32586131-32600962,6:151271304-151882964,14:22259312-22545671,5:70716278-70721505,23:422315-462468,11:182372-223502,1:119271891-119774102,1:244627520-244676774
Array.67,HR+,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,0,0,0,-1,0,0,0,1,1,0,1,0,0,-1,-1,-1,0,0,0,0,-1,0,0,1,0,0,0,0,-1,0,0,0,0,-1,1,-1,-1,-1,-1,0,0,-1,0,0,0,2,0,0,-1,1,-1,0,1,0,0,0,0,0,-1,0,1,0,-1,-1,0,0,0,0,-1,-1,0,0,1,0,0,0
Array.24,Triple Neg,1,2,1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,1,-1,-1,-1,0,0,0,0,0,-1,2,0,-1,0,-1,2,-1,-1,0,0,-1,0,-1,0,-1,0,-1,-1,0,0,-1,-1,0,1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,1,-1,-1,-1,-1,-1,-1,2,0,1,-1,0,2,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
Array.22,Triple Neg,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,-1,0,-1,-1,0,-1,0,0,1,0,1,1,0,1,1,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,0,0,1,0,1,-1,0,0,-1,1,0,0,-1,-1,-1,0,0,1,1,0,0,0,0,1,-1,0,-1,-1,0,0,1,-1,0,1
Array.49,HER2+,1,-1,0,0,0,0,-1,-1,0,0,0,0,0,2,0,0,-1,2,-1,0,0,0,2,-1,1,2,1,-1,-1,0,0,-1,0,1,0,1,0,1,2,0,0,-1,-1,1,-1,-1,1,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,2,1,0,-1,1,0,1,-1,0,2,-1,-1,0,0,0,1,0,0,-1,0,1,-1,1,-1,0,0,-1,0,-1,-1,1
Array.146,Triple Neg,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0
Array.143,HER2+,0,0,-1,1,-1,0,0,-1,0,0,0,1,0,2,0,1,-1,2,-1,-1,0,0,1,-1,1,1,1,-1,-1,0,1,-1,-1,-1,0,1,0,1,-1,1,0,0,-1,1,1,1,0,0,-1,1,0,0,1,-1,-1,1,1,0,1,0,0,0,-1,0,-1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,-1,1,1,0,1,-1,0,-1,1,1
Array.4,HER2+,1,0,0,-1,0,-1,-1,0,0,0,-1,0,0,2,0,0,-1,0,-1,-1,0,-1,1,0,1,1,1,-1,0,0,0,0,0,0,-1,1,-1,1,-1,0,0,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,1,0,0,-1,-1,0,1,-1,0,-1,-1,0,0,0,1,-1,1,-1,-1,0,-1,1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,1,0,0,1
Array.76,HER2+,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,2,0,0,-1,0,-1,-1,0,-1,1,-1,1,1,1,-1,0,0,0,-1,0,-1,0,-1,0,1,-1,1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,1,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,-1,1,-1,0,1
Array.118,Triple Neg,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,-1,1,1,1,0,0,0,0,0,0,-1,0,0,0,1,-1,1,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,1,-1,0,0,0,0,0,1,-1,0,0,0,1,1,1,-1,0,0,0,1,0,1,1
Array.154,Triple Neg,1,1,-1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1,1,0,1,0,1,2,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,-1,0,1,0,-1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
