Sample,Subgroup,17:22315936-22324326,22:41307174-41912419,5:150148732-150201145,6:40747924-42826227,17:35076296-35282086,6:611289-618999,8:21490551-22657603,6:334423-600935,16:50733339-51847185,12:51241859-52425218,1:70553640-70787481,14:105602756-105630089,1:16757397-16794038,14:19268776-19330937,12:74728500-75387573,16:86985669-88124384,11:103640528-105452607,7:294016-413795,1:104018651-104671817,16:68710277-68751390,8:39013480-39080885,22:37683612-37705310,6:32732764-32738443,2:132067307-132196569,15:32523241-32594902,16:82128902-83298645,5:70716278-70721505,16:48783687-49225359,11:15253180-15787974,1:2611444-2641811,1:199087690-199111062,15:27009381-32443495,1:193480150-193527058,16:30561643-31835555,6:110490286-110621141,2:91494116-91569435,4:69215734-69311985,14:20418299-20477376,5:49988952-50268244,15:19805960-19845942,8:37028146-37290782,1:1676445-1703748,1:116081666-116824183,5:763494-786455,8:36426253-36481039,16:72933295-73012768,12:23801758-24366747,12:70462057-70560603,17:34863487-34894235,15:88185003-88623472,12:82881635-83804633,16:191307-2499608,15:44193179-48393597,1:244693374-244865778,6:135204537-135259324,5:34119335-34407822,3:89488409-89516057,20:37153404-38764590,23:3229-45135,1:149369522-149394958,15:19910867-20060061,16:69763173-70593293,6:79161515-80141390,5:18945305-20776045,23:354639-380891,1:2870100-2880675,1:120313797-120384620,12:74674175-74721164,16:46232996-46704264,16:47380507-47610756,16:69417987-69744010,11:101977732-103163021,11:5742476-5762182
Array.34,HR+,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,2,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,-1,2,0,0,-1,0,0,1,-1,0,-1,1,1,-1,1,0,-1,0,0,0,0,-1,0,0,0,0,0
Array.16,HER2+,1,0,-1,0,2,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,-1,-1,-1,1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,-1,1,0,-1,1,1,-1,0,0,2,0,0,0,0,1,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1
Array.146,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1
Array.143,HER2+,0,1,-1,0,2,0,-1,0,1,0,1,1,0,0,0,-1,-1,1,2,-1,-1,-1,0,0,0,-1,-1,1,-1,0,1,0,1,0,0,1,-1,0,-1,0,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,1,0,0,-1,1,0,1,0,-1,0,0,0,0,1,0,2,2,1,-1,-1
Array.65,HR+,0,-1,1,0,0,1,0,1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,1,-1,0,1,1,0,1,1,-1,0,-1,0,1,1,0,0,0,1,0,-1,0,0,0,0,0,1,0,1,-1,1,0,1,1,0,1,-1,-1,1,1,1,0,0,-1,-1,1,-1,0
Array.62,Triple Neg,0,1,0,1,0,1,0,1,0,0,0,0,1,-1,0,1,0,0,1,1,1,1,1,1,0,1,1,-1,0,1,1,0,2,1,0,1,-1,0,0,0,1,1,1,0,1,1,-1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,-1,-1,1,0,0
Array.4,HER2+,0,0,-1,-1,2,1,-1,1,0,-1,0,-1,-1,0,0,-1,0,0,0,1,0,-1,-1,0,-1,-1,-1,0,0,1,0,-1,1,0,0,0,0,-1,-1,1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,1,0,-1,-1,0,1,1,1,1,0,-1,1,1,0,0,0,0,1,0,0
Array.76,HER2+,0,-1,-1,0,2,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,-1,0,-1,0,0,-1,1,0,0,0,-1,0,-1,0,-1,0,0,1,-1,0,0,0,0,-1,0,0,-1,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1
Array.154,Triple Neg,0,1,0,1,0,1,-1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,-1,0,1,0,0,0,0,2,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,-1,0,0,0,1,-1,0,1,1,1,0,0,1,1
Array.48,HR+,0,-1,1,0,1,0,-1,0,0,1,0,-1,0,-1,1,0,-1,-1,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,1,1,0,0,-1,-1,0,1,2,0,0,0,-1,-1,-1,1,1,0,1,0,1,1,0,0,-1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-1,-1
Array.39,HR+,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,1,1,0,1,1,0,0,-1,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,-1,1,-1,-1,0,0,-1,1,1,0,-1,-1,0,0,-1
Array.86,HR+,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,0,0,1,-1,0,-1,0,0,1,-1,0,0,0,-1,-1,0,0,-1,0,0,1,0,1,-1,0,0,0,0,1,1,-1,-1,0,1,0,0,0,0,0,-1,0,0
Array.112,Triple Neg,-1,1,-1,1,-1,0,0,0,0,-1,-1,-1,1,-1,0,0,-1,1,0,-1,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,-1,1,-1,1,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,-1,-1
Array.79,HER2+,-1,-1,1,0,2,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,1,-1,1,-1,1,-1,-1,0,1,1,-1,0,0,2,-1,-1,1,0,0,0,0,1,0,0,0,1,0,0,-1,1,1,-1,0,1,0,1,0,0,-1,-1,-1,0,0
