Sample,Subgroup,22:41307174-41912419,12:85450052-85962613,20:1499034-1506379,6:146738-154410,6:40747924-42826227,6:63057692-64614816,20:39688990-40052114,3:75479859-75535753,17:35076296-35282086,12:51241859-52425218,20:37153404-38764590,3:16617887-16778176,6:68631929-69110566,6:32766023-32821094,5:150148732-150201145,17:35444422-35463146,3:41249898-46752789,16:68667006-68679377,15:32447707-32511475,1:16954838-16997273,17:40859120-40926154,3:18712267-19922255,8:36627162-36673994,1:245134410-245140268,10:4952746-6573717,12:71710336-71905426,1:237050563-238730140,16:68838368-68874167,1:2927-43870,8:40137595-40540201,22:37683612-37705310,4:70442343-70445716,20:48906328-50098541,5:837253-859176,15:39590440-39979013,4:846154-890807,6:1292057-1353261,8:97415915-97633935,15:739595-744565,4:119714411-119812578,3:89663968-90219681,20:46074165-46770469,7:141965869-141978333,6:611289-618999,14:52064745-52660995,8:37636761-37737912,6:69820589-70731852,12:64727853-66012212,1:145820605-146012014,12:44923991-45851001,23:132998038-140285388,8:105857203-107203129,1:239391358-239517083,17:35286565-35336158,19:45934725-46027876,17:11469879-12854787,4:61252645-62435526,1:149369522-149394958,16:191307-2499608,15:18835660-18884436,3:87287192-87311658,5:140203440-140221835,4:166559793-171072076,3:34840321-39070614,17:43153310-43384340,16:82128902-83298645,10:21880427-21920526,3:75546791-75799957,6:113685697-115481584,16:4670009-9018298,6:31395330-31558079
Array.34,HR+,0,1,0,-1,0,-1,1,-1,0,0,1,0,-1,0,-1,1,-1,0,0,0,0,0,1,0,0,1,0,0,0,2,-1,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,-1,2,0,2,1,1,0,0,-1,-1,0,-1,0,1,1,-1,0,-1,0,0,0,-1,-1,0,0
Array.22,Triple Neg,-1,0,0,-1,1,1,0,0,0,0,0,1,1,1,0,0,0,-1,-1,-1,0,1,0,1,0,0,1,-1,0,0,-1,0,0,0,0,-1,1,1,0,-1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,-1,0,0,1,-1,-1,1,0,-1,0,0,-1,0,1
Array.49,HER2+,-1,0,0,0,0,1,0,0,2,0,-1,0,1,1,-1,1,0,-1,0,-1,-1,0,2,0,0,1,1,-1,0,1,0,-1,-1,0,0,-1,0,2,0,-1,0,-1,0,0,0,1,1,1,0,0,2,2,0,0,0,-1,-1,2,0,0,0,0,0,0,-1,-1,1,0,0,0,0
Array.16,HER2+,0,0,-1,0,0,0,1,-1,2,0,1,-1,0,0,-1,-1,0,-1,0,-1,-1,0,1,1,1,0,1,-1,0,0,-1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,2,0,0,1,0,1,1,1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0
Array.143,HER2+,1,0,1,0,0,0,1,-1,2,0,1,1,0,0,-1,0,-1,-1,0,-1,0,1,-1,1,1,0,1,-1,0,-1,-1,1,1,0,0,-1,0,1,0,0,2,1,1,0,1,-1,0,0,1,0,1,1,1,0,1,-1,-1,1,0,0,-1,-1,0,-1,0,-1,1,1,0,0,0
Array.65,HR+,-1,0,1,0,0,-1,1,0,0,0,1,0,-1,0,1,0,0,-1,0,0,0,0,0,1,-1,0,1,-1,0,0,-1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,-1,0,1,0,2,0,1,0,0,-1,0,0,1,1,0,1,0,0,1,-1,-1,0,-1,1,0
Array.62,Triple Neg,1,0,0,1,1,2,0,0,0,0,0,1,2,1,0,0,0,1,0,1,1,1,1,1,1,0,2,1,1,1,1,0,2,0,0,1,1,2,0,1,1,1,1,1,0,2,2,0,1,1,1,2,1,0,1,0,0,0,1,0,0,0,0,2,1,1,1,0,0,1,1
Array.4,HER2+,0,0,-1,0,-1,0,0,-1,2,-1,0,-1,0,-1,-1,0,-1,1,-1,-1,-1,1,-1,1,-1,0,0,1,-1,0,-1,0,0,-1,-1,-1,2,1,0,0,-1,0,0,1,-1,0,0,0,0,-1,1,1,0,0,-1,-1,0,1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0
Array.154,Triple Neg,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,2,0,0,1,1,1,1,0,0,0,1,0,1,0,2,1,0,-1,0,1,-1,0,0,1,0,0,0,1,0,1,0,0,0,1
Array.48,HR+,-1,1,0,0,0,-1,0,-1,1,1,0,-1,-1,0,1,1,-1,-1,0,0,1,-1,-1,1,0,1,1,0,1,2,-1,0,1,0,1,0,0,1,0,0,-1,1,-1,0,-1,2,-1,1,1,1,1,1,1,1,0,-1,1,0,0,1,-1,0,0,-1,1,0,0,-1,0,0,0
