Feature,Importance
6:90034143-91964331,0.11919421
11:89400624-89482692,0.07318067
12:85986743-87258350,0.06935493
15:55258039-57620619,0.05606788
15:39590440-39979013,0.0519674
4:191062719-191134340,0.045130752
6:132048194-133414796,0.040752802
10:16276793-18410505,0.040374216
15:76887995-78887127,0.03494091
22:38968144-39093020,0.034180705
17:47941897-47991776,0.031694017
8:37028146-37290782,0.031326253
17:35076296-35282086,0.03126468
16:54354643-54379834,0.023967603
16:50733339-51847185,0.021044854
12:74674175-74721164,0.015209199
6:6356121-7863271,0.015078185
10:16134020-16227462,0.01428874
14:51010758-52051333,0.013568324
2:143031-165346,0.01205432
2:57141220-60843704,0.010951956
3:193425674-193467200,0.009353795
22:41917843-42643973,0.00921979
1:193480150-193527058,0.008674627
16:68667006-68679377,0.008450581
1:149579637-149582884,0.008410823
1:149591108-149598429,0.008235572
12:84542006-85443011,0.008172179
16:68606309-68648091,0.008159973
11:103640528-105452607,0.007855809
5:69274433-70345552,0.0076853437
1:244693374-244865778,0.0076635806
1:83381408-83603746,0.007565062
3:75479859-75535753,0.0075374115
6:146738-154410,0.007530991
8:35875555-36133992,0.0073905913
12:108480224-109587365,0.0067729806
2:113910766-114036896,0.0065864488
3:4109224-4214897,0.005797217
5:763494-786455,0.0057726894
5:140433878-142819410,0.0056543592
16:191307-2499608,0.0049005104
16:30561643-31835555,0.0047443947
12:74728500-75387573,0.0042014103
7:141214728-141245219,0.0039800303
10:14046295-16112625,0.003673202
12:90696859-92322330,0.0032900267
12:75396411-75693696,0.0029815102
5:70716278-70721505,0.0028734491
15:41676219-44156737,0.0027687242
16:14956177-14988855,0.002739977
1:199087690-199111062,0.002708009
22:23978623-24228038,0.0026632799
12:100382347-103227744,0.0019170967
8:37317937-37617735,0.0015319241
16:34369010-34482623,0.0015121935
10:21880427-21920526,0.0014071725
23:1672003-1687507,0.0013302523
23:152994680-153054487,0.0010898075
17:34130896-34211434,0.0010897801
11:89496302-95731868,0.0010654486
4:70442343-70445716,0.0010639437
2:180223718-187349250,0.0010624509
6:18550170-19001738,0.00083948055
5:104851801-108410768,0.00079732377
13:40795287-41378403,0.0007951465
1:120313797-120384620,0.00074798975
1:244870377-244942436,0.0007105612
20:6777556-8801003,0.0006702198
12:75706042-77012738,0.00065554475
12:70462057-70560603,0.00055932475
16:82128902-83298645,0.00037816513
8:30109992-30278937,0.00024529034
7:50712505-53062228,0.00020239972
3:89488409-89516057,0.0001792287
16:72933295-73012768,0.00014433039
9:42913008-43066618,0.000112265094
2:61025070-61061211,0.00010869853
5:150148732-150201145,5.448076e-05
12:31173065-31257959,4.8531463e-05
5:57805582-58473974,4.3162254e-05
17:3393853-4388997,1.6404278e-05
12:98643996-98870746,7.809098e-06
23:422315-462468,6.3571124e-06
3:196947293-196962380,3.3152358e-07
