Feature,Importance
3:153300999-156963893,0.10627977
5:150224239-152555267,0.08446308
17:35076296-35282086,0.07147693
12:85986743-87258350,0.048958942
22:26999547-27819338,0.043432426
9:110114139-110140372,0.0430053
1:40617288-40677227,0.032080952
16:50733339-51847185,0.03106026
12:97852156-98629015,0.03058513
6:89106148-90015649,0.029891506
11:80263397-80790766,0.028784284
10:44629442-45468415,0.025610229
17:77422698-77432294,0.024570571
12:74728500-75387573,0.024087887
15:44193179-48393597,0.018508825
1:2611444-2641811,0.017513452
2:47541529-48962866,0.016095785
1:45231107-46047207,0.016063623
11:78706656-79810606,0.015308553
15:62165778-63146938,0.0146411285
16:72933295-73012768,0.013704559
1:2643540-2645074,0.012642897
12:84542006-85443011,0.010786261
15:18362555-18431773,0.010528721
16:45058242-45218686,0.010227931
5:763494-786455,0.010065088
8:35694285-35751327,0.009784417
14:51010758-52051333,0.009372745
22:41307174-41912419,0.009129354
5:70752359-71062539,0.008223311
22:27829159-28903600,0.008035457
8:97639200-98703368,0.007678171
15:63158011-63872459,0.0062037907
1:104018651-104671817,0.0060379785
11:77881751-77985428,0.00578741
1:74137824-74816963,0.005444077
4:69215734-69311985,0.0053822794
16:67314736-68371045,0.005311149
11:46368437-47509993,0.0050454997
4:191062719-191134340,0.004585187
20:15036230-15158545,0.0041425945
18:18979399-19204173,0.0040769004
11:59180249-59841891,0.0040453468
1:199087690-199111062,0.0038911616
11:103640528-105452607,0.003848038
19:20422576-20493401,0.0038244168
1:149579637-149582884,0.0038120921
5:54350373-55141379,0.0037510688
5:68785515-68850823,0.0036643483
6:110490286-110621141,0.0035788587
6:32766023-32821094,0.0035526133
2:132210961-132323628,0.00338805
9:110104594-110108926,0.0032002153
8:35875555-36133992,0.003134122
3:4109224-4214897,0.0030490903
1:117015146-117751415,0.002839741
1:244693374-244865778,0.0028351883
5:51321507-51678728,0.0027633663
23:1702016-1706462,0.00274922
10:16276793-18410505,0.002702949
18:22806771-23086108,0.0025994077
4:72994111-74368203,0.0023397391
8:36627162-36673994,0.0020659496
17:57851812-57992993,0.0019602694
14:21420105-21448635,0.0019449239
1:16799163-16836986,0.0018918547
14:19350230-19397709,0.001787301
16:28087-37133,0.0016517596
1:16757397-16794038,0.0013153404
6:40747924-42826227,0.0012448583
16:68606309-68648091,0.0012069326
11:58439169-58548776,0.0011920048
12:9528590-9585156,0.001121653
20:12495273-14729413,0.0010897837
3:196908262-196937230,0.0010469414
6:102825672-106012872,0.001010333
12:75396411-75693696,0.0010073248
12:70574871-71644041,0.0009965559
20:61795796-62379059,0.0009955142
6:4651403-4923955,0.0009509349
22:22695759-22714749,0.00094146765
6:32732764-32738443,0.00088835036
17:41700762-41706870,0.0008654206
16:68667006-68679377,0.00082057284
2:61025070-61061211,0.0008100591
15:21195208-21982746,0.0007183972
1:38432360-38569674,0.00070829596
14:34765550-35332809,0.0006958913
1:13520352-15852641,0.0006736044
15:55258039-57620619,0.000652828
16:68710277-68751390,0.00059759716
16:30561643-31835555,0.00057154306
6:110408187-110448454,0.0005594269
16:14956177-14988855,0.00050967594
8:30109992-30278937,0.00039448324
17:38035466-38070950,0.00037566354
19:232836-236846,0.00034433376
16:191307-2499608,0.00033674136
15:39590440-39979013,0.00032615077
14:95084499-96542228,0.00031989635
14:96585545-96889176,0.00026515275
8:98721543-100441109,0.0002532105
6:22060377-24236375,0.00023749938
1:239544570-239630032,0.00022174195
1:25414726-25433465,0.00018868566
20:45124342-45222725,0.00018238291
1:234776770-236274333,0.0001786168
11:101977732-103163021,0.0001769528
6:19049822-20716660,0.00016851767
23:3229-45135,0.00012634523
11:68821295-68894909,0.00012419614
3:4226329-9771752,0.00012316754
1:245308564-245433846,0.000114484734
5:62457701-65999278,0.000114390954
1:146525071-146549143,0.00010819448
1:156722904-157446463,0.000106527164
9:42913008-43066618,9.251672e-05
1:120313797-120384620,8.726763e-05
22:37683612-37705310,8.7222914e-05
15:32605086-32654561,8.052508e-05
17:11469879-12854787,7.638818e-05
4:70442343-70445716,6.560948e-05
17:13035306-15423538,4.134621e-05
16:69417987-69744010,4.9917167e-06
