Sample,Subgroup,1:149369522-149394958,1:199087690-199111062,3:196908262-196937230,4:162205286-162321148,5:714149-719885,5:62457701-65999278,5:69274433-70345552,6:40747924-42826227,6:64633346-64705894,8:36512939-36612488,8:42123757-42175380,9:153131-194193,9:42913008-43066618,11:83733321-85064586,12:44923991-45851001,12:45861893-47611599,12:63574243-64694907,12:70462057-70560603,12:84542006-85443011,12:85450052-85962613,12:85986743-87258350,14:35347136-36478421,14:105602756-105630089,15:44193179-48393597,15:48406757-51888263,15:55258039-57620619,16:30561643-31835555,16:67314736-68371045,16:68710277-68751390,16:68880321-69381055,16:69763173-70593293,16:72933295-73012768,17:35076296-35282086,17:36686013-36857537,17:36861607-37014754,17:37416931-38029088,17:39139634-39275931,17:39280577-40847517,17:41062669-41447005,17:41577520-41644979,17:41983407-42049540,17:61247968-61578637,19:56816785-56859204,20:194755-763411,20:771302-1487457,20:1578087-3037884,20:3049358-5225253,20:9785760-12243594,20:32696760-33365924,20:60333345-60363009,22:22725750-22731544,22:30243922-31511793,22:41221190-41290227,22:41293579-41298170,22:41917843-42643973,23:152552851-152570071
Array.129,HER2+,1,0,0,0,1,-1,-1,0,0,-1,-1,-1,0,-1,1,1,1,1,0,0,0,0,0,1,-1,-1,0,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,2
Array.34,HR+,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,0,-1,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,1,0,-1,0,0,0,0,0,2,2,0,0,0,0,0,1
Array.67,HR+,0,-1,-1,-1,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.24,Triple Neg,-1,0,0,-1,0,-1,-1,0,0,0,0,1,-1,1,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Array.22,Triple Neg,-1,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.36,HR+,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,0
Array.16,HER2+,-1,0,0,0,1,-1,-1,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,0,1,1,1
Array.146,Triple Neg,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.62,Triple Neg,0,1,1,0,0,0,1,1,2,1,1,0,1,0,1,1,0,0,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
Array.76,HER2+,1,0,0,0,1,-1,-1,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,1
Array.48,HR+,0,-1,0,0,0,0,0,0,-1,-1,2,-1,0,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,-1,0,0,-1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,1
Array.6,HER2+,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.39,HR+,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0
Array.86,HR+,1,-1,0,0,0,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1
Array.112,Triple Neg,-1,0,1,0,0,-1,-1,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,1,1,1,2
Array.79,HER2+,1,1,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1
Array.124,HR+,-1,0,1,1,-1,0,1,-1,1,2,2,-1,1,-1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,-1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
Array.19,HER2+,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,2,0,-1,-1,-1,0,-1,0,0,0,0,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,1
Array.110,HER2+,1,1,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Array.69,Triple Neg,2,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,2,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,1
Array.101,HR+,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,1,1,1,1,2,0,0,0,0,0,1
Array.90,Triple Neg,-1,1,1,0,0,0,0,0,0,-1,-1,0,1,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,1,-1,-1,0,0,-1,2
Array.99,Triple Neg,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,2
Array.57,Triple Neg,-1,1,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.105,HER2+,1,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Array.85,HR+,1,0,0,0,0,-1,-1,0,0,1,2,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.114,Triple Neg,0,1,1,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,1
Array.56,HR+,-1,-1,1,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,0,1,0,0,-1,-1,-1,-1,-1,1
Array.5,Triple Neg,0,0,0,-1,-1,-1,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1
Array.8,HR+,1,1,0,1,0,0,0,0,0,-1,2,-1,0,-1,0,0,0,0,1,1,1,2,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Array.113,Triple Neg,1,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
Array.148,HER2+,0,0,1,-1,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,2,0,0,0,0,0,1
Array.25,Triple Neg,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,0,0,-1,0,-1,-1,0,0,1,0,1
Array.141,HR+,1,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.125,HER2+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.152,HER2+,0,0,0,0,1,-1,-1,0,0,2,1,1,1,2,0,0,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.50,Triple Neg,1,1,2,0,-1,-1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2
Array.23,HR+,2,1,0,0,1,-1,-1,0,-1,0,2,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
Array.68,HER2+,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.94,HR+,2,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,2,0,0,0,0,2,2,0,0,1,1,0,1
Array.51,HER2+,0,1,0,1,1,0,0,1,1,0,-1,-1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0
Array.142,HR+,2,1,1,0,1,1,1,1,-1,0,0,-1,1,0,1,1,1,1,1,1,1,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,2
Array.144,HER2+,-1,1,-1,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
Array.37,HR+,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1
Array.18,HER2+,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,1,1,-1,0,-1,-1,-1,1,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Array.82,HR+,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,-1,1,-1,0,0,0,1,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,1,0,1,2,2,2,2,2,0,0,0,0,0,0,2
Array.75,HER2+,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,1,1,-1,1,1,0,0,0,-1,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,1
Array.139,HER2+,0,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.117,HR+,2,-1,0,1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.60,HR+,2,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.38,Triple Neg,0,0,0,0,0,-1,-1,0,0,-1,2,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1
Array.72,HER2+,1,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
Array.104,Triple Neg,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.111,Triple Neg,0,1,1,0,1,0,0,1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Array.7,HR+,1,0,0,0,0,1,0,0,-1,-1,1,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1
Array.53,HER2+,-1,0,1,-1,1,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,2
Array.71,Triple Neg,1,1,1,0,-1,-1,-1,2,-1,0,0,-1,0,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,1,1,-1,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1
Array.47,Triple Neg,-1,0,1,-1,0,-1,-1,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,-1,-1,-1,-1,-1,0,-1,0,1,1,1,1,1
Array.107,Triple Neg,2,0,1,0,0,-1,-1,1,1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1
Array.89,HR+,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.35,HR+,-1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1
Array.93,Triple Neg,-1,1,1,0,0,0,-1,1,1,-1,-1,2,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
