Feature,Importance
17:35076296-35282086,2.9155899729434602
16:68710277-68751390,0.4504452369707123
12:75396411-75693696,0.41614558241605637
9:42913008-43066618,0.37652444082504866
17:41983407-42049540,0.36633055067037185
8:39356595-39363050,0.3603396276041843
15:32605086-32654561,0.3449080677264089
6:64633346-64705894,0.3366991057344734
15:32447707-32511475,0.30254572008653696
11:83733321-85064586,0.2999876938217883
14:73106558-73114128,0.28370111481303767
16:67314736-68371045,0.25604335582835924
11:80023540-80218800,0.2441503972388312
12:9528590-9585156,0.23370859648639755
19:40530071-40556205,0.21834315129700815
1:199087690-199111062,0.20358712064436593
11:80263397-80790766,0.199731263095894
11:79858760-79974644,0.18884341951649797
17:41062669-41447005,0.18550045239218405
16:69763173-70593293,0.18038921415800396
6:131304839-132036965,0.1671245528855397
5:150224239-152555267,0.162087321398119
6:64750730-65951879,0.1564944488133854
1:149369522-149394958,0.1543914311659689
14:105602756-105630089,0.1501360990220515
8:39013480-39080885,0.14519707088630923
6:32732764-32738443,0.14294985394566573
16:29586070-30555422,0.13817980309977815
16:29560500-29582349,0.13817980309977815
6:66247043-66553014,0.1369477058154031
6:69820589-70731852,0.1266306737839091
6:63057692-64614816,0.12233685913402469
20:194755-763411,0.11993746772310501
14:21464924-21511829,0.11454386766633055
6:32718991-32728487,0.10534065378673174
22:28922568-30224848,0.103044485707611
11:81383435-82269855,0.09406542672091497
5:93328253-96508341,0.09148354701166868
8:35694285-35751327,0.08990911135829142
12:64727853-66012212,0.08441343347525099
16:30561643-31835555,0.08212287741814857
3:196908262-196937230,0.07644183284619628
14:21518235-22000194,0.0749944169061898
17:58754373-58810867,0.050715213894507394
8:37746286-37882239,0.04986356249390143
22:30243922-31511793,0.04979507488053748
21:31734621-32578981,0.04815495164589697
6:135204537-135259324,0.04625153541654398
8:36512939-36612488,0.04527986907279582
6:135520431-136095714,0.042306497867852184
8:48952907-49214104,0.04212385293853553
8:29281419-29430834,0.036110202049608374
11:78137964-78627898,0.034951078612274436
6:135286400-135498058,0.03382176550967589
12:77023447-82859962,0.03218289939293118
1:193480150-193527058,0.0319474028747087
3:199333505-199383479,0.029301400093101997
8:39962335-40121328,0.024880585816250914
8:40125478-40131470,0.024880585816250914
16:69391442-69397102,0.020111577899891063
14:103664534-104533357,0.019795500566897828
3:196947293-196962380,0.018483597855907846
5:142831583-149027600,0.013101886325067221
15:22374850-23389141,0.01057485055275685
8:36347029-36416687,0.010486529520052749
6:136561135-136680507,0.009136507195297839
2:61025070-61061211,0.007394664853451541
8:38599339-38743232,0.005179477022565866
22:24876788-26191987,0.0037349369147449832
