Sample,Subgroup,1:149369522-149394958,1:245082256-245121447,2:61025070-61061211,3:41249898-46752789,4:70442343-70445716,5:140203440-140221835,5:140433878-142819410,5:142831583-149027600,5:150148732-150201145,5:150224239-152555267,5:152572508-153979903,5:154006451-157875296,6:22060377-24236375,6:31395330-31558079,6:31564655-32119501,6:32123032-32519935,6:32732764-32738443,6:32766023-32821094,6:39777677-40701218,6:40747924-42826227,6:64633346-64705894,6:69820589-70731852,6:133447975-135173194,7:141965869-141978333,8:105857203-107203129,8:107865666-108926406,8:108963119-110219485,8:114214217-115827427,8:115852788-116921245,8:117915188-119933236,8:122563718-123364225,10:21859872-21874211,10:21880427-21920526,11:79858760-79974644,11:80023540-80218800,11:80263397-80790766,11:83733321-85064586,12:44923991-45851001,12:45861893-47611599,12:64727853-66012212,12:66035532-66948440,12:75396411-75693696,12:84542006-85443011,12:85450052-85962613,12:85986743-87258350,16:70601469-71161060,16:82128902-83298645,17:22798530-22952517,17:35076296-35282086,17:35468181-35478001,17:39280577-40847517,17:41062669-41447005,17:41458670-41494331,17:43036086-43085236,17:52205885-52455229,22:37683612-37705310,22:41293579-41298170,23:122417938-131366673,23:152994680-153054487
Array.34,HR+,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,0,0,0,-1,2,2,2,2,-1,1,1,1,0,0,0,0,1,0,0,0,0,0,-1,0,1,1
Array.22,Triple Neg,-1,1,0,0,0,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,1,1
Array.49,HER2+,2,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,2,2,2,2,2,1,1,-1,-1,-1,-1,0,0,1,1,1,0,0,0,-1,-1,2,2,1,-1,-1,-1,-1,0,0,-1,2,1
Array.16,HER2+,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,1,1,1
Array.143,HER2+,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,-1,-1,0,2,2,-1,-1,-1,-1,1,-1,1,1,1
Array.65,HR+,0,1,-1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,1,-1,-1,2,1
Array.62,Triple Neg,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,1,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,-1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
Array.4,HER2+,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,1,1,1,1,1,1,1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,2,0,-1,-1,-1,-1,-1,-1,0,1,1
Array.154,Triple Neg,-1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
Array.48,HR+,0,1,0,-1,0,0,1,1,1,1,1,1,0,0,0,0,-1,0,0,0,-1,-1,0,-1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,-1,-1,1,0
Array.39,HR+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,1,1
Array.112,Triple Neg,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2
Array.79,HER2+,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,-1,1,1
Array.19,HER2+,1,1,0,0,0,-1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2,0,0,0,0,-1,-1,1,2,2,-1,-1,-1,1,0,-1,2,-1,-1,-1,-1,-1,0,0,0,1,2
Array.27,HR+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,1,1
Array.106,HER2+,0,-1,0,1,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,2,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,1,2,0,-1,-1,-1,-1,-1,0,0,1,2
Array.110,HER2+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,2,0,-1,-1,-1,-1,0,-1,0,1,2
Array.73,HER2+,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
Array.98,HR+,-1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,1,1
Array.33,HR+,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,1,0
Array.138,HER2+,2,1,-1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,2,0,-1,-1,-1,-1,-1,0,0,2,1
Array.149,HR+,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,1,1,1,2,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1
Array.90,Triple Neg,-1,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,2,2
Array.99,Triple Neg,-1,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
Array.85,HR+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,1,1
Array.5,Triple Neg,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,1,1
Array.8,HR+,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,0,1,1
Array.148,HER2+,0,0,0,-1,2,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,0,1,1
Array.42,HER2+,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,-1,2,2,2,2,0,0,2,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,2,-1,-1,-1,-1,0,0,-1,-1,2,2
Array.25,Triple Neg,0,0,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,0,0,0,1,1,1
Array.102,Triple Neg,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,1,1,1,1,-1,-1,-1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1
Array.55,HER2+,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,2,-1,-1,-1,-1,0,1,-1,-1,1,0
Array.141,HR+,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,1,1
Array.159,Triple Neg,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,-1,-1,2,2,2,2,2,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,1,2,0,0,1,1
Array.52,HR+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,0,0,-1,-1,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1
Array.88,Triple Neg,1,0,1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,-1,-1,-1,1,0,-1,1,0,0,0,0,1,1,-1,0,2,2
Array.152,HER2+,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,2,0,0,1,1,1,1,1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,0,1,1
Array.50,Triple Neg,1,-1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1,1,2,2
Array.23,HR+,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,1,1,0,0,1,1
Array.68,HER2+,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,2,0,0,0,0,0,0,0,0,1,1
Array.142,HR+,2,-1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,2,2
Array.144,HER2+,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,0,0,1,1
Array.37,HR+,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1
Array.78,HER2+,1,1,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,2,0,-1,-1,-1,-1,1,-1,-1,1,1
Array.82,HR+,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,0,0,0,0,2,-1,-1,-1,-1,1,-1,0,2,2
Array.75,HER2+,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,1,0,0,-1,2,0,-1,-1,-1,-1,-1,0,0,1,1
Array.139,HER2+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,0,-1,-1,-1,1,2,0,0,1,2
Array.2,HR+,-1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,-1,1,1,-1,0,0,0,1,0,-1,-1,1
Array.60,HR+,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,1,1
Array.38,Triple Neg,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1
Array.72,HER2+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1
Array.137,HR+,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,-1,1,1
Array.145,Triple Neg,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,1,1
Array.31,Triple Neg,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,1,2,2
Array.135,Triple Neg,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Array.111,Triple Neg,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,1,1,1
Array.7,HR+,1,-1,0,0,-1,-1,-1,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,2,-1,-1,1,1
Array.59,HR+,1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,2,2,2,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0
Array.71,Triple Neg,1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,2,-1,0,0,1,2,2,2,2,2,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Array.47,Triple Neg,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,-1,1,1,1,1,1,1,2,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,2,2
Array.107,Triple Neg,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,1,1
Array.10,HER2+,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,0,-1,-1,-1,-1,1,1
Array.123,HR+,2,1,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,2,2,2,1,1,1,-1,-1,0,0,0,0,0,0,0,1,0,0,1,1
Array.100,HR+,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1
