Feature,Importance
17:35076296-35282086,1.7820537940365706
3:196908262-196937230,0.49992300984424576
22:37683612-37705310,0.4600418775932026
1:149369522-149394958,0.42702068206415394
23:1702016-1706462,0.2910803034330642
1:199087690-199111062,0.2879486807490055
17:41983407-42049540,0.2805061908048324
16:14956177-14988855,0.2699714515800117
1:72489681-72620747,0.25226719416306237
23:3229-45135,0.24739543372760667
17:41062669-41447005,0.2417919463875727
8:35875555-36133992,0.24081273736063427
14:19268776-19330937,0.23089692792330924
20:1516966-1539155,0.22697049404415728
9:42913008-43066618,0.22669901376264667
15:44193179-48393597,0.2218614189432155
12:85986743-87258350,0.20974064497948694
12:9528590-9585156,0.20190395648600423
2:61025070-61061211,0.20171379774682477
7:141965869-141978333,0.19517052748263491
8:36512939-36612488,0.19026778996804514
6:32634044-32660090,0.1898627505132105
16:69391442-69397102,0.18903263407288018
8:42123757-42175380,0.18820272084341735
16:68710277-68751390,0.1881216410425427
1:244961779-244970723,0.1840129038022991
23:1672003-1687507,0.18231814161010604
16:69763173-70593293,0.1781930394282401
12:64727853-66012212,0.17716572252572726
16:67314736-68371045,0.17252739451688381
17:41458670-41494331,0.1685104020934828
8:36426253-36481039,0.1681365405283227
16:30561643-31835555,0.1672796622396671
22:41293579-41298170,0.16656637657409154
12:84542006-85443011,0.16637633818780975
17:39280577-40847517,0.1658431909393361
1:244870377-244942436,0.16542629184735075
12:85450052-85962613,0.16148873741539704
1:244947984-244955806,0.1614667210665388
5:70716278-70721505,0.15919271917511765
8:36347029-36416687,0.1570242880919261
4:69215734-69311985,0.15618894104539183
20:1499034-1506379,0.15555487107307725
23:66527817-67559319,0.14863952900554614
12:75396411-75693696,0.1483107549089747
8:36627162-36673994,0.14644299527948657
11:78137964-78627898,0.14095801305977393
23:76605907-83305349,0.13963403340449515
17:38035466-38070950,0.13521961762113896
17:38077519-38710043,0.13521961762113896
12:44923991-45851001,0.1351813326812668
23:83340047-88078465,0.13508701366741216
22:22695759-22714749,0.13465950011846028
3:166639991-168786545,0.13455230852928837
15:41676219-44156737,0.1340239212449238
16:68880321-69381055,0.13210283839556766
19:47934635-48237067,0.13123156837229213
3:196947293-196962380,0.1275814742070996
15:22374850-23389141,0.1270067182036364
17:42161364-42296514,0.12503450553621823
17:42301553-42639030,0.12503450553621823
15:39590440-39979013,0.12218162525479771
15:39989024-40217541,0.12218162525479771
11:80263397-80790766,0.12194356366399238
14:38908039-40550969,0.12184280700523352
14:37627931-38890108,0.12184280700523352
8:36153626-36327657,0.12057336054967499
6:135286400-135498058,0.12036830339024661
22:41221190-41290227,0.11723577796598876
6:133447975-135173194,0.1159272722482066
17:24265896-24395518,0.11546342285137791
16:70601469-71161060,0.11495619144880977
11:82599955-82867442,0.11468995308791052
17:77704506-78562654,0.1142915037560349
13:56645552-56673183,0.1139240310786572
17:25816140-25841839,0.11387768209857957
11:78005966-78127149,0.11189578575810129
12:88551907-88910171,0.11159241496276709
6:89106148-90015649,0.11035764778468865
5:150224239-152555267,0.10968338771202849
3:89488409-89516057,0.10952419706070944
17:77442683-77478901,0.10879852715916953
22:22725750-22731544,0.10724358677060396
15:55258039-57620619,0.1071602329599286
6:22060377-24236375,0.10701182080780529
17:40859120-40926154,0.10560378176211008
5:802518-826044,0.10467260093459084
17:22775124-22788340,0.10427761031095273
3:163966040-163987465,0.10426187727164446
3:193425674-193467200,0.10336987071757561
3:173645852-176989598,0.10319387199374411
17:403833-443042,0.10313018884086833
11:80023540-80218800,0.10288670205100173
11:77881751-77985428,0.10242408860084463
15:39578565-39587716,0.10213212917247744
17:25145468-25170458,0.10129508348258925
15:21195208-21982746,0.10040858003677629
12:66035532-66948440,0.10038880763835346
17:24974517-25131411,0.0997076174960737
1:244693374-244865778,0.09946314202923848
17:77653668-77696106,0.09873966668177818
22:30243922-31511793,0.09780910104934988
12:45861893-47611599,0.09628014276860487
1:149579637-149582884,0.09601859216484161
17:43036086-43085236,0.09598748096957103
12:87329145-88538415,0.09504720140500887
22:28922568-30224848,0.09497509036706964
6:32732764-32738443,0.0949372537919235
3:164454066-166625316,0.0935680725583717
17:23641542-23815398,0.09308516660282791
15:48406757-51888263,0.0927527375681313
12:63574243-64694907,0.09216825509834412
17:53437573-53723036,0.09198935884581555
16:49237703-50174920,0.09170877860983949
9:43094089-43410478,0.09169534565370967
22:19886024-20632137,0.09084041189566833
17:38784700-39114890,0.09041841832751313
13:40795287-41378403,0.0900163802819677
5:152572508-153979903,0.08987950855408523
5:70752359-71062539,0.08912662411320924
16:72933295-73012768,0.08704144696248126
23:72008396-76523923,0.08683763677863025
2:60860846-61005290,0.08300234755416404
11:78706656-79810606,0.08273266831406696
15:27009381-32443495,0.08227783654383167
5:154006451-157875296,0.08226959383204768
16:31958973-32105104,0.08183178728989271
15:40224293-41638388,0.08170338680765239
16:68606309-68648091,0.08152412804342293
16:48783687-49225359,0.0813415836538912
12:90696859-92322330,0.08077113948062283
15:23967192-26208602,0.08059950832565146
22:17080555-17294496,0.08017107393811473
8:42191493-42325689,0.07886413538087164
17:22978886-23005210,0.07858064992868558
11:103640528-105452607,0.07794302806827626
11:105458461-107398356,0.07794302806827626
8:29497110-29571339,0.07767617502188194
10:135142920-135266354,0.07762137482088834
15:23440964-23933266,0.07662592535921346
19:56816785-56859204,0.07656002277851551
14:59289512-60676241,0.07645250948993448
20:61795796-62379059,0.07637974923682238
3:153300999-156963893,0.0762020098581554
16:86985669-88124384,0.07596277426682572
12:5997138-7884886,0.07572338935634201
5:140433878-142819410,0.07571082830231794
6:18550170-19001738,0.07466907910506339
17:25637986-25806515,0.07421973472439507
22:31521603-32950474,0.07327059854028568
16:2505009-4665784,0.07239690010793065
3:164112881-164333847,0.07186849864112424
17:42648686-42873571,0.07109484206401881
5:149050787-150137980,0.06946000172356213
12:70574871-71644041,0.0689694655046576
8:31336091-31896351,0.06873016651360431
3:160231691-163957219,0.06817465521401707
20:194755-763411,0.06763940260715515
22:20637682-20899315,0.06634517608118955
16:51853490-52456026,0.06606197488042599
2:57141220-60843704,0.06560275235642359
17:77503378-77503685,0.06518016624179987
12:97852156-98629015,0.06502019154162121
8:35694285-35751327,0.06496487070829658
13:56602818-56610886,0.06493348798171023
15:32447707-32511475,0.06489310326385696
17:41011530-41041674,0.06487400661555597
17:39139634-39275931,0.06479729807756886
17:23820330-24085005,0.06401500409633479
5:142831583-149027600,0.06390396933223089
17:22485675-22508198,0.0629609875678069
1:16757397-16794038,0.061854975369509
6:19049822-20716660,0.06174071289289697
6:20726739-22048197,0.06174071289289697
14:19154992-19216369,0.061581934855953396
16:50733339-51847185,0.06150261959563184
11:16532712-18443734,0.06091414358510473
11:76858917-77204725,0.06063049539783589
11:82288127-82586347,0.060387030210254926
22:41307174-41912419,0.059918025508116875
6:135520431-136095714,0.05981728294941797
23:52844235-58365352,0.05958500505295161
11:77295422-77867327,0.05917650014929852
12:74728500-75387573,0.059118969206196886
17:1542118-1560766,0.05864399971367651
17:43100477-43148025,0.058391502276845475
23:88111667-88259698,0.05733808468528244
15:22163893-22272781,0.056013299618655976
6:69820589-70731852,0.05594087257489877
17:61733108-61833313,0.054509302366681396
17:22622230-22764692,0.05450168319428944
6:24244934-26055528,0.05430737200880619
14:34765550-35332809,0.05405749585668959
11:20113144-21887299,0.05396579652120564
22:39323749-40065743,0.05386055153569627
12:92329775-94134731,0.053810127407227897
4:162347852-163724527,0.053115082521896104
11:83733321-85064586,0.05290754428083202
1:146525071-146549143,0.05287939932613458
22:17343445-17385003,0.052566135607000644
22:41917843-42643973,0.05186944281741264
6:132048194-133414796,0.051843893430079085
11:109089452-114667900,0.05141896927362442
15:57627602-58554678,0.051393464574112785
17:444378-446414,0.051230726547788874
6:1358498-1359129,0.05055466266027976
16:191307-2499608,0.04912191781621542
10:21880427-21920526,0.04815131594158822
15:51919876-55250930,0.04767383128496513
19:34467144-36255437,0.04752244758799566
16:47717059-48773160,0.04721656325402594
12:94141519-97140822,0.0469797783264849
5:96637773-98418818,0.045966768570881174
20:1546858-1557784,0.04590059725777774
15:32605086-32654561,0.045421515992004766
19:40530071-40556205,0.044986661925445405
6:70738275-72163725,0.04490419778787025
12:70379430-70453985,0.044779343217940075
5:49892983-49980085,0.04381745780598829
11:107409719-109050102,0.04351304815577505
23:67574650-71124218,0.043267811815741686
15:32667508-32751435,0.0432484070661498
16:29586070-30555422,0.0431102467563907
15:82553368-82745143,0.04192150637008221
5:44516010-44864831,0.04135485348069527
12:74674175-74721164,0.04125039089756889
12:75706042-77012738,0.040951198589156655
8:28883487-29205723,0.0405281148959226
3:170472437-173237997,0.04051006210557835
3:177004388-181135381,0.04051006210557835
3:173247425-173637617,0.04051006210557835
14:53877628-54699527,0.039535473200906834
17:37158903-37306855,0.039505359615680684
17:37055494-37151062,0.039505359615680684
22:40072147-41213949,0.03863814431589626
16:68667006-68679377,0.03841440748479951
