Sample,Subgroup,17:35076296-35282086
Array.129,HER2+,2
Array.67,HR+,-1
Array.22,Triple Neg,0
Array.36,HR+,-1
Array.146,Triple Neg,0
Array.4,HER2+,2
Array.76,HER2+,2
Array.118,Triple Neg,0
Array.48,HR+,1
Array.6,HER2+,2
Array.86,HR+,-1
Array.112,Triple Neg,-1
Array.79,HER2+,2
Array.19,HER2+,2
Array.106,HER2+,2
Array.110,HER2+,2
Array.69,Triple Neg,1
Array.95,HR+,0
Array.17,HER2+,2
Array.33,HR+,-1
Array.138,HER2+,2
Array.149,HR+,1
Array.101,HR+,0
Array.90,Triple Neg,-1
Array.99,Triple Neg,0
Array.57,Triple Neg,0
Array.105,HER2+,2
Array.85,HR+,0
Array.56,HR+,-1
Array.8,HR+,0
Array.113,Triple Neg,0
Array.148,HER2+,2
Array.42,HER2+,2
Array.25,Triple Neg,1
Array.102,Triple Neg,0
Array.55,HER2+,2
Array.141,HR+,0
Array.43,HR+,0
Array.159,Triple Neg,-1
Array.52,HR+,-1
Array.125,HER2+,2
Array.50,Triple Neg,0
Array.23,HR+,1
Array.68,HER2+,2
Array.153,Triple Neg,-1
Array.144,HER2+,2
Array.37,HR+,0
Array.82,HR+,0
Array.75,HER2+,2
Array.139,HER2+,2
Array.117,HR+,0
Array.60,HR+,0
Array.38,Triple Neg,-1
Array.72,HER2+,2
Array.104,Triple Neg,0
Array.111,Triple Neg,0
Array.7,HR+,-1
Array.71,Triple Neg,0
Array.47,Triple Neg,0
Array.64,Triple Neg,0
Array.35,HR+,0
Array.93,Triple Neg,0
Array.134,HR+,1
Array.130,HER2+,2
