Feature,Importance,Fold
22:40072147-41213949,0.007820660082502102,5
17:35076296-35282086,0.09848164419150188,5
22:41307174-41912419,0.02409974484404496,5
12:85450052-85962613,0.014631306552120343,5
6:6356121-7863271,0.011006856413351576,5
15:39590440-39979013,0.011450401496707865,5
20:194755-763411,0.0033067523295522996,5
1:16799163-16836986,0.00456042809689319,5
3:130220686-130840184,0.002082235491490743,5
8:117915188-119933236,0.0045580789505547436,5
12:64727853-66012212,0.005642778062273593,5
5:150148732-150201145,0.006523067909034251,5
8:38599339-38743232,0.006801876074031873,5
1:193480150-193527058,0.006998909779549892,5
3:127138046-128434521,0.004002476455689623,5
1:149369522-149394958,0.006487939570256765,5
1:244693374-244865778,0.006907894315435279,5
1:109933787-109968401,0.0046730639525145775,5
8:40137595-40540201,0.008747508969583144,5
6:1292057-1353261,0.009732070461429699,5
11:74773664-74787471,0.005606131559282947,5
7:143321677-143391065,0.00559455520092768,5
5:62457701-65999278,0.00827067679758892,5
1:142877399-143526765,0.000956999932254144,5
1:245054641-245071941,0.006751496604651911,5
1:16757397-16794038,0.004118195965252071,5
16:68710277-68751390,0.006765585066692036,5
6:18550170-19001738,0.014451023053471505,5
10:4952746-6573717,0.007744687757356381,5
1:199087690-199111062,0.002928884932941566,5
6:611289-618999,0.015668594454953527,5
22:22725750-22731544,0.004735453019945741,5
20:38771196-39033123,0.007719918649233823,5
2:712-125634,0.007077843024863945,5
15:32447707-32511475,0.0021468150279571655,5
15:32523241-32594902,0.005179032041609267,5
5:51881238-54336548,0.0062252554323308455,5
6:40747924-42826227,0.013839345905715464,5
8:97639200-98703368,0.005340004234997345,5
4:106972190-110834066,0.003129178657181321,5
1:193556792-193630262,0.004608236484749218,5
16:69391442-69397102,0.004059471912766047,5
22:37683612-37705310,0.02411523931156283,5
8:33344787-34072415,0.00536806612920443,5
6:67665685-68602261,0.0074985431174320796,5
12:62137202-62802242,0.006482342596687587,5
1:202366885-203532522,0.0026839441531214176,5
19:14895218-14903239,0.0011372180451127822,5
1:16551324-16592466,0.0028730776181963326,5
16:4670009-9018298,0.0035597720332069325,5
6:22060377-24236375,0.009113976998654062,5
1:199135441-199222301,0.0046084367846247675,5
17:11469879-12854787,0.004521621470109739,5
3:48631976-48677740,0.0024137946355814255,5
17:41011530-41041674,0.005715885195394386,5
6:32732764-32738443,0.0051767161525795346,5
12:62807597-63330914,0.0031928491187035836,5
11:80023540-80218800,0.0018164137731460945,5
3:18712267-19922255,0.012874544309888372,5
16:191307-2499608,0.0037322166983703186,5
17:43389085-43525899,0.011370875542557026,5
20:36066537-36768161,0.008067361576377408,5
6:1358498-1359129,0.009019412906198036,5
5:154006451-157875296,0.01559964876008446,5
8:39368509-39505256,0.006403876386453135,5
4:846154-890807,0.0015023065861309796,5
8:39356595-39363050,0.008443179926750288,5
1:142570866-142598507,0.002250995730905616,5
5:142831583-149027600,0.0186239023980741,5
12:70462057-70560603,0.0035393994437357625,5
16:21448093-21501073,0.004085660173989109,5
8:166452-181530,0.013555725868965012,5
23:1672003-1687507,0.005782836866090657,5
15:32605086-32654561,0.0012049057120390755,5
1:156504203-156715120,0.005748111389129574,5
8:97415915-97633935,0.003994712167445019,5
17:984101-1003742,0.005860608322734348,5
17:37416931-38029088,0.0087993344640381,5
6:19049822-20716660,0.010536967525014086,5
17:39280577-40847517,0.032175572386432254,5
8:133850058-135582453,0.004358981342667708,5
13:93513108-95399913,0.006980712243578854,5
3:515536-517145,0.0022476817332769887,5
1:158747329-164242059,0.0006624841752152272,5
5:70716278-70721505,0.01135440190369684,5
20:56302917-57359062,0.011980368187118551,5
16:30561643-31835555,0.012426379861708805,5
17:43153310-43384340,0.006051833686414687,5
11:103640528-105452607,0.004948504394403233,5
1:2882919-2901629,0.006284838862974528,5
8:36512939-36612488,0.017491909790411184,5
1:239391358-239517083,0.002797411664785721,5
3:196908262-196937230,0.006842563134689843,5
16:14956177-14988855,0.004919436906597837,5
6:131304839-132036965,0.012047216208320437,5
16:16174751-18701570,0.004397275661298608,5
14:105857193-105881279,0.006950035571488045,5
3:4109224-4214897,0.009249698661578256,5
11:5742476-5762182,0.007067752584690916,5
16:68667006-68679377,0.01681509421826513,5
20:32377973-32691183,0.008364763853932665,5
14:73071404-73092018,0.0024490895828203187,5
1:120313797-120384620,0.006461690351043956,5
5:68785515-68850823,0.007206143222340751,5
1:181387023-182641159,0.005080606402210828,5
17:8567837-9872633,0.007493250616527351,5
23:3229-45135,0.008285828084997747,5
8:184617-808139,0.0268133039640323,5
6:135204537-135259324,0.028399661191329667,5
9:42913008-43066618,0.006565753757159038,5
6:14553443-16323782,0.008105889759531908,5
5:140203440-140221835,0.010618686883820245,5
6:140293024-140905063,0.008528634311243462,5
1:158319014-158365270,0.003467285556280511,5
1:72489681-72620747,0.0038696671195653613,5
17:18474499-18868037,0.0011872304573473005,5
1:141474904-141491470,0.002949796194015023,5
6:149845177-151256488,0.013084113697372004,5
17:13035306-15423538,0.010310892211286202,5
