Feature,Importance,Fold
1:2927-43870,0.0,2
1:85022-216735,0.0,2
1:370546-372295,0.0007183153335057633,2
1:471671-786483,0.0,2
1:792533-907406,0.0,2
1:912799-1266212,0.0,2
1:1271190-1590570,0.0003984707646176913,2
1:1676445-1703748,0.00021535362925091014,2
1:1738295-2477597,0.0,2
1:2481927-2562342,0.0,2
1:2574555-2580342,0.00040577700854356794,2
1:2611444-2641811,0.000243707195793246,2
1:2643540-2645074,0.0,2
1:2664285-2665530,0.0,2
1:2672694-2832087,0.0005483040842054708,2
1:2854198-2856899,0.001039452587586506,2
1:2870100-2880675,0.0,2
1:2882919-2901629,0.0007315254869070912,2
1:2903052-3112977,0.0,2
1:3125822-3135062,0.0,2
1:3136815-3137481,0.00023149064144671778,2
1:3149648-3157982,0.0008257713828131698,2
1:3166706-3521038,0.0,2
1:3521345-3798798,0.0,2
1:3810936-6606212,0.00015561569688768607,2
1:6613363-8038878,0.0,2
1:8050444-10537398,0.0,2
1:10551320-12533269,0.0,2
1:12544104-12768740,0.0006533889056045813,2
1:12774453-12788158,0.0,2
1:12800742-12805297,0.0,2
1:12833868-13002452,0.0009736130756135744,2
1:13520352-15852641,0.0,2
1:15858551-16119613,3.0131351186233245e-05,2
1:16126501-16531740,0.0015320857376816374,2
1:16551324-16592466,0.0,2
1:16672053-16680432,0.0,2
1:16693433-16750002,0.0004421191432058711,2
1:16757397-16794038,0.001043954406552471,2
1:16799163-16836986,0.0,2
1:16954838-16997273,3.1408666902822024e-05,2
1:17030134-17037487,0.0,2
1:17042808-19187091,0.0,2
1:19200088-21470929,0.0,2
1:21483025-21545437,9.834834834834865e-05,2
1:21558697-22668805,0.0,2
1:22674759-23463832,0.0,2
1:23469376-25318800,0.0,2
1:25354765-25402278,0.0,2
1:25414726-25433465,0.0,2
1:25441018-26227863,0.0,2
1:26233527-26722236,0.0007007128210135729,2
1:26737835-26751009,0.0,2
1:26758077-27414811,0.0010304765586853998,2
1:27418631-27637052,0.0,2
1:27650970-27755668,0.0,2
1:27765928-29080585,0.001908177905308465,2
1:29088543-30687222,0.0009869119207640607,2
1:30716764-30984527,0.0013956976111672245,2
1:31006782-31124964,0.0003540540540540541,2
1:31136968-31957740,0.0,2
1:31968013-33181040,0.0,2
1:33189868-34166798,0.0,2
1:34172947-35330813,0.0,2
1:35336344-35895515,0.0,2
1:35903416-37578554,0.0,2
1:37599215-38399540,0.0018028652777150095,2
1:38432360-38569674,0.0,2
1:38648737-39428343,0.0010924729730343084,2
1:39437661-40202959,0.0015696937219176388,2
1:40207650-40612758,0.0,2
1:40617288-40677227,0.000787230244669587,2
1:40682830-41867848,0.002749564027800496,2
1:41873732-42747586,0.001417171089956356,2
1:42754729-43839204,0.00042253490855892576,2
1:43848683-44593810,0.002816570137151033,2
1:44600018-45223413,0.0,2
1:45231107-46047207,0.0,2
1:46054586-46436383,0.001090266823066241,2
1:46445058-47002412,0.0,2
1:47020328-47076960,0.0,2
1:47089264-48831518,0.0004054897067997506,2
1:48841029-48963712,0.002005083415337065,2
1:48974558-49671800,0.0,2
1:49686548-50400238,0.0,2
1:50444082-51401581,0.0,2
1:51408483-52434446,0.0,2
1:52445317-53651141,0.0016049808367711168,2
1:53661750-55331098,0.00017292281737663447,2
1:55339131-55523339,0.0,2
1:55559966-56093730,0.0,2
1:56126922-56811818,0.0007960170081175102,2
1:56820392-57352466,0.00023321624534184508,2
1:57359130-58257959,0.0,2
1:58269395-58818282,0.0,2
1:58829706-59938549,0.0007575971731448761,2
1:59947024-60037860,0.0,2
1:60048731-60931948,0.0010108989975954358,2
1:60943372-61455192,0.0,2
1:61460755-62257156,0.0,2
1:62265513-62775298,0.0015884489109893832,2
1:62781892-63279284,0.0,2
1:63297252-63739396,0.0004033783323516099,2
1:63746181-64381618,0.0017609760742043653,2
1:64392452-65044702,0.0009027895786564586,2
1:65061124-65363623,0.0,2
1:65377733-65684038,0.00043970315398886913,2
1:65691013-66605594,0.0,2
1:66624841-66943717,0.0,2
1:66956044-67293111,0.0,2
1:67304899-67564224,0.00022209509083880936,2
1:67574404-69349603,0.0,2
1:69374719-70163952,0.0,2
1:70172264-70544007,0.0,2
1:70553640-70787481,0.0,2
1:70848676-70955685,0.0008568012569450103,2
1:70968966-72065805,0.00016050765210899587,2
1:72080289-72473289,0.0010587899186511173,2
1:72489681-72620747,0.0013359570810384449,2
1:72661597-74078153,0.0,2
1:74137824-74816963,0.0,2
1:74824437-75454027,0.0017529831157051883,2
1:75473473-76096464,0.0,2
1:76105071-76128015,0.0,2
1:76167515-76719796,0.0,2
1:76735134-77210667,0.0017067938801717602,2
1:77217365-77934334,0.0,2
1:77945975-79392599,0.0007939214232765011,2
1:79437815-80901791,0.0004091573445735573,2
1:80938887-81107155,0.0004130647635262601,2
1:81184008-83075209,0.0,2
1:83100179-83359798,0.0,2
1:83381408-83603746,0.0006422256287947016,2
1:83635029-84586214,0.0,2
1:84590209-84901413,0.0,2
1:84921910-86224479,0.0,2
1:86236843-87585025,0.0002314499659632402,2
1:87607672-87697095,0.0,2
1:87749501-87791319,0.0,2
1:87839437-89193171,0.00015578465063001147,2
1:89198467-91213470,7.22321774953356e-05,2
1:91230845-91708215,0.0006805211162278114,2
1:91714670-93739491,0.0,2
1:93748351-97087853,0.001235724309538071,2
1:97110991-102417008,0.0,2
1:102443157-103810269,0.0,2
1:103819551-103875725,0.0,2
1:104018651-104671817,0.0003592848850708146,2
1:104696813-106107236,0.0,2
1:106163050-107403052,0.002135127491518098,2
1:107408809-108467581,0.0,2
1:108571690-109922013,0.00022019502988361125,2
1:109933787-109968401,0.0,2
1:109987805-110453999,0.0,2
1:110464125-110577138,0.0,2
1:110588200-112717534,0.00020572623047437617,2
1:112725478-113471063,0.0,2
1:113508337-114220736,0.0,2
1:114228794-114235706,0.0018480481689226826,2
1:114245958-114853862,0.0,2
1:114863525-115372000,0.0,2
1:115389481-116062013,0.00036184210526315797,2
1:116081666-116824183,0.0,2
1:116847623-116861515,0.0002189471130519166,2
1:116880909-116906096,0.0,2
1:116925150-116938461,0.0,2
1:116948867-117006671,0.0,2
1:117015146-117751415,0.0,2
1:117757490-118781178,0.0,2
1:118811438-119105315,0.0,2
1:119131184-119266053,0.0,2
1:119271891-119774102,0.000935720074703125,2
1:119783556-119942294,0.0002162983346232124,2
1:119963572-120232261,0.0,2
1:120313797-120384620,0.0019936190211419565,2
1:120405944-120737345,0.0,2
1:120761983-120923696,0.0019719531656642946,2
1:141474904-141491470,0.0,2
1:141500919-141527782,0.0007415057184522848,2
1:142116690-142435868,0.0016897242255263095,2
1:142444242-142565191,0.0,2
1:142570866-142598507,0.0004583406012537765,2
1:142610589-142871406,2.7964480204091398e-05,2
1:142877399-143526765,0.00035123966942148763,2
1:143543580-144966156,5.427841634738185e-05,2
1:144975464-145023947,0.0,2
1:145647143-145716245,0.0,2
1:145820605-146012014,0.0012696132209658228,2
1:146473741-146512434,0.0,2
1:146525071-146549143,0.0012027730501282137,2
1:146581869-146634734,0.0,2
1:146661770-149362629,1.3875817466637838e-05,2
1:149369522-149394958,0.0007815618053777729,2
1:149403519-149573806,0.0004091291291291293,2
1:149579637-149582884,0.0023863667410113846,2
1:149591108-149598429,0.0,2
1:149604744-150808620,0.0,2
1:150815602-151998352,0.00040105334329739134,2
1:151998685-152605084,0.0,2
1:152617283-155145482,0.0,2
1:155152973-156497370,0.0,2
1:156504203-156715120,0.0,2
1:156722904-157446463,0.0,2
1:157457777-157769567,0.0003777777777777777,2
1:157779753-158111315,0.00024514991181657847,2
1:158123386-158211115,0.00047746243739565935,2
1:158222895-158292447,0.0,2
1:158296040-158314837,0.00042935543912191854,2
1:158319014-158365270,0.0,2
1:158378189-158382079,0.0007247206974114254,2
1:158392593-158736756,0.0,2
1:158747329-164242059,0.0,2
1:164247118-165948301,0.0,2
1:165958802-165988174,0.00040244268695565125,2
1:166003996-166010822,0.0,2
1:166018172-168812476,0.0004027726659305605,2
1:168818982-172497794,8.940719144800787e-05,2
1:172527923-176446701,0.0006425582201767801,2
1:176455950-179420685,0.0,2
1:179443743-179575821,0.0,2
1:179581225-181371569,0.0,2
1:181387023-182641159,3.9826839826839725e-05,2
1:182657845-186034550,0.0,2
1:186062909-186274119,0.0,2
1:186293872-189329179,0.0,2
1:189337051-193443252,0.0,2
1:193480150-193527058,0.0020331140851344584,2
1:193556792-193630262,2.1181821013612546e-05,2
1:193652057-199041703,0.0,2
1:199047681-199054142,0.0,2
1:199087690-199111062,0.0,2
1:199135441-199222301,0.0,2
1:199273751-199356111,0.0013556959987949197,2
1:199363774-201157571,0.00047420168067226876,2
1:201169853-202358631,0.0,2
1:202366885-203532522,0.0,2
1:203539204-205954108,0.0,2
1:205966175-208143743,0.0,2
1:208148352-209359643,0.0,2
1:209366118-211118685,0.0,2
1:211126341-211395327,0.0007257678085473795,2
1:211438238-212152890,0.0,2
1:212163869-213601626,0.00016774302283497242,2
1:213607905-215165364,0.0008002095060857906,2
1:215199726-217395427,0.0,2
1:217416088-219300768,6.543072146038083e-05,2
1:219311634-221538990,7.240141864808709e-05,2
1:221557056-224126341,0.0,2
1:224140920-225920251,0.0009764562922457659,2
1:225926558-231061656,0.00022193595877806414,2
1:231067740-234760702,0.000552136752136752,2
1:234776770-236274333,0.0,2
1:236280081-237042779,0.0,2
1:237050563-238730140,0.00035744147157190626,2
1:238747201-239156984,0.0,2
1:239190321-239313778,0.0,2
1:239337733-239364269,0.0009212155071368324,2
1:239391358-239517083,0.0,2
1:239544570-239630032,0.0,2
1:239663268-244617610,0.00037459864430966814,2
1:244627520-244676774,0.001251407939393519,2
1:244693374-244865778,0.0,2
1:244870377-244942436,0.0,2
1:244947984-244955806,0.00025445339103085805,2
1:244961779-244970723,0.0009015264448793589,2
1:245009770-245014643,0.00032432432432432436,2
1:245054641-245071941,0.0,2
1:245082256-245121447,0.0,2
1:245134410-245140268,0.00023361344537815127,2
1:245150122-245299678,0.0,2
1:245308564-245433846,0.0009180117794918554,2
2:712-125634,0.0,2
2:143031-165346,0.0,2
2:167106-176745,0.0003899361508057159,2
2:196212-479448,0.0,2
2:485052-3016048,0.0,2
2:3072994-4495693,0.00045054875967739027,2
2:4600483-5064198,0.0,2
2:5117160-8963807,0.00023316327276448292,2
2:8972669-10440704,0.0,2
2:10446234-11268822,0.00034584563475326867,2
2:11273719-11824126,0.0,2
2:11839789-15741307,0.0,2
2:15752122-20346474,0.0,2
2:20354952-22147571,0.0,2
2:22164275-23148262,0.00039282715605133743,2
2:23178086-23798605,0.0,2
2:23809995-25541135,0.0,2
2:25551899-29745341,0.0,2
2:29758580-34597887,0.0002408134141990724,2
2:34614581-34702220,0.00042167832167832177,2
2:34730412-34868034,0.0,2
2:34904779-39267014,0.0,2
2:39284752-41599090,0.0,2
2:41616449-43362384,0.0,2
2:43367043-44064629,0.0009425126414499422,2
2:44073585-44107287,0.0,2
2:44112923-46581831,0.0,2
2:46600135-47534465,0.0,2
2:47541529-48962866,0.0,2
2:49007696-50317220,0.0,2
2:50329312-56794730,0.003174173048777425,2
2:56853626-57106587,0.0019299929908030838,2
2:57141220-60843704,0.0008138309087075687,2
2:60860846-61005290,0.0,2
2:61025070-61061211,0.0017694916664932692,2
2:61069435-67262586,0.0,2
2:67280403-69113514,0.0,2
2:69119613-73764874,0.0,2
2:73769146-74670974,0.0,2
2:74676485-81995821,0.0,2
2:82033369-87033744,0.0,2
2:87287735-87839798,0.0005610664431469754,2
2:88099999-89162648,0.0,2
