Sample,Subgroup,1:17030134-17037487,1:26233527-26722236,1:149369522-149394958,1:193480150-193527058,1:199087690-199111062,3:196908262-196937230,3:196947293-196962380,5:70716278-70721505,5:150224239-152555267,5:152572508-153979903,5:154006451-157875296,6:19049822-20716660,6:20726739-22048197,6:22060377-24236375,6:32634044-32660090,6:32718991-32728487,6:32732764-32738443,6:40747924-42826227,6:64633346-64705894,6:64750730-65951879,6:66247043-66553014,6:89106148-90015649,6:119263604-122326220,6:122710361-123097090,6:135204537-135259324,6:135286400-135498058,6:135520431-136095714,8:36347029-36416687,8:36426253-36481039,8:36512939-36612488,8:37317937-37617735,8:37746286-37882239,8:42123757-42175380,8:47740011-48934830,9:42913008-43066618,11:78137964-78627898,11:79858760-79974644,11:80023540-80218800,11:80263397-80790766,11:83733321-85064586,12:51241859-52425218,12:64727853-66012212,12:75396411-75693696,12:77023447-82859962,12:85450052-85962613,14:34090931-34754302,14:105602756-105630089,15:32447707-32511475,15:32523241-32594902,15:32605086-32654561,16:30561643-31835555,16:67314736-68371045,16:68710277-68751390,16:69391442-69397102,16:69763173-70593293,17:35076296-35282086,17:39280577-40847517,17:41062669-41447005,17:41983407-42049540,17:42648686-42873571,17:52205885-52455229,17:52545850-52924636,17:55230326-55273077,17:61590200-61726416,17:67849232-68295347,20:194755-763411,20:771302-1487457,20:32696760-33365924,20:35800429-36053431,22:28922568-30224848,22:30243922-31511793,23:3229-45135,23:122417938-131366673
Array.129,HER2+,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1,2,2,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,-1,-1,-1,0,1,1,1,1,2,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,1,-1,0,0,2
Array.67,HR+,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,2,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1
Array.24,Triple Neg,-1,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,-1,2
Array.22,Triple Neg,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.36,HR+,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,1,1,0,2,-1,1,1,0,1,-1,-1,-1,1
Array.49,HER2+,-1,-1,2,1,1,0,0,-1,-1,-1,-1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,-1,2,2,2,1,1,1,0,-1,-1,-1,-1,-1,0,1,1,0,0,0,-1,0,-1,0,0,-1,-1,-1,-1,2,-1,-1,1,-1,0,0,2,0,0,0,0,0,-1,0,0,0,2
Array.146,Triple Neg,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Array.143,HER2+,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,2,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1
Array.65,HR+,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,-1,0,0,0,1,-1,-1,-1,-1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,-1,-1,1,2
Array.4,HER2+,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1
Array.76,HER2+,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,2,-1,-1,-1,-1,1,1,2,-1,-1,-1,-1,1,0,-1,-1,0,1
Array.118,Triple Neg,0,0,-1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
Array.154,Triple Neg,0,1,-1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Array.48,HR+,0,0,0,1,-1,0,0,0,1,1,1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,2,2,2,0,0,1,0,0,-1,-1,1,1,1,1,1,-1,-1,0,-1,1,1,0,-1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,0,1
Array.6,HER2+,0,0,-1,1,-1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,1,0,-1,0,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,2
Array.86,HR+,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1
Array.124,HR+,0,0,-1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,2,2,2,0,0,2,1,1,0,1,1,-1,-1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,2,2,2,1,2,1,1,1,1,0,0,1,2
Array.19,HER2+,-1,-1,1,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,2,-1,-1,0,-1,0,0,0,0,1,1,1,1,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1
Array.27,HR+,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
Array.106,HER2+,-1,-1,0,1,1,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,0,0,-1,-1,1,1,1,1,0,0,1,1
Array.110,HER2+,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1
Array.69,Triple Neg,-1,-1,2,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,1,1
Array.73,HER2+,0,0,1,0,1,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Array.95,HR+,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
Array.98,HR+,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,-1,1,1
Array.17,HER2+,0,0,1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,-1,0,-1,2,0,0,0,-1,-1,-1,1,0,1,0,0,0,0,0,0,0,1
Array.138,HER2+,-1,-1,2,1,1,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,-1,1,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2
