Feature,Importance,Fold
1:149369522-149394958,0.017929452546750095,5
1:193480150-193527058,0.012820249868359135,5
5:140203440-140221835,0.007228434667772012,5
5:150224239-152555267,0.014010526217839317,5
5:152572508-153979903,0.012218720019546016,5
5:154006451-157875296,0.015601262313723836,5
6:31564655-32119501,0.01635289164523521,5
6:32732764-32738443,0.005912185473832024,5
6:39777677-40701218,0.009239426778033279,5
6:40747924-42826227,0.016110406456075317,5
6:64633346-64705894,0.0069575287849204855,5
6:64750730-65951879,0.009883688806992827,5
6:66247043-66553014,0.0073582579682697465,5
6:69820589-70731852,0.011025044153933964,5
6:131304839-132036965,0.019089553442419735,5
6:133447975-135173194,0.009448870848305157,5
6:135520431-136095714,0.022196815969456454,5
8:36512939-36612488,0.009794926009733458,5
8:38168564-38303346,0.018149870371653127,5
8:42123757-42175380,0.01676049772682361,5
8:115852788-116921245,0.005662450850985249,5
8:117915188-119933236,0.01197436957415846,5
9:42913008-43066618,0.011620920591718823,5
10:16276793-18410505,0.014067577517187188,5
11:80263397-80790766,0.00848208261381767,5
11:82599955-82867442,0.011426909036267616,5
11:83733321-85064586,0.007856937965959135,5
12:9528590-9585156,0.010323432304850794,5
12:44923991-45851001,0.013147901962069901,5
12:45861893-47611599,0.012940409371102224,5
12:64727853-66012212,0.01748585087147857,5
12:70462057-70560603,0.009830171688418701,5
12:75396411-75693696,0.02209115070353264,5
12:84542006-85443011,0.008732113066685079,5
12:85450052-85962613,0.026407737363188483,5
12:85986743-87258350,0.023344077207354683,5
15:32447707-32511475,0.007332156663566843,5
15:32605086-32654561,0.0062990784805417145,5
16:2505009-4665784,0.010087832014461484,5
16:4670009-9018298,0.009186455877037588,5
16:30561643-31835555,0.009222072382811966,5
16:67314736-68371045,0.007781611467012716,5
16:68710277-68751390,0.012910673085552993,5
16:68880321-69381055,0.011758323053332131,5
16:69391442-69397102,0.00993790652264158,5
16:69763173-70593293,0.013317920283601391,5
17:35076296-35282086,0.16830467355477952,5
17:39280577-40847517,0.013816119125829704,5
17:40859120-40926154,0.013879312939903745,5
17:41062669-41447005,0.02637445384816619,5
17:41458670-41494331,0.016654990348280784,5
17:41983407-42049540,0.0038121746753841,5
17:42161364-42296514,0.019432791487314527,5
17:43036086-43085236,0.017048480108527716,5
17:43100477-43148025,0.015513475774480864,5
17:52205885-52455229,0.01292036885738274,5
17:56184200-56439989,0.010426929774920442,5
17:77442683-77478901,0.021270337651786455,5
18:28288419-29558913,0.011543824740303826,5
20:32696760-33365924,0.00832047160820083,5
22:37683612-37705310,0.022975444232426638,5
22:41221190-41290227,0.014172682838386736,5
22:41293579-41298170,0.023244499513437024,5
23:3229-45135,0.008972236331477859,5
